$$$Vapor-Liquid Equilibrium Data Set 9038	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C6H6	78.114	71-43-2	Benzene	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	
338.97	0.88520	0.03090	
337.06	0.88950	0.06720	
335.49	0.89360	0.10150	
340.07	0.79920	0.03780	
337.98	0.79940	0.07150	
336.41	0.79950	0.10910	
335.66	0.79960	0.12930	
334.43	0.80000	0.17400	
333.58	0.70000	0.26930	
333.78	0.69990	0.23610	
334.55	0.69890	0.19920	
334.92	0.69990	0.16250	
335.65	0.69980	0.13490	
336.45	0.69980	0.10640	
338.72	0.69980	0.06100	
342.75	0.69970	0.01770	
332.58	0.60000	0.34780	
332.88	0.60000	0.29310	
333.09	0.59990	0.25810	
333.24	0.59990	0.20000	
334.28	0.59990	0.12180	
337.95	0.59990	0.06160	
340.81	0.59990	0.03490	
331.90	0.49990	0.47440	
332.15	0.49990	0.44540	
332.33	0.49990	0.41930	
332.38	0.49990	0.34470	
332.50	0.49990	0.31140	
334.13	0.49990	0.11710	
335.10	0.49990	0.07290	
336.32	0.49990	0.05480	
343.15	0.50000	0.02100	
346.68	0.50000	0.00310	
331.60	0.39990	0.58810	
332.13	0.39990	0.55310	
332.36	0.40000	0.49940	
332.36	0.40000	0.49620	
332.35	0.40010	0.48760	
331.68	0.29740	0.69180	
331.67	0.29080	0.67690	
332.17	0.28650	0.66680	
332.48	0.27920	0.64990	
331.89	0.20010	0.79890	
331.97	0.19690	0.78650	
332.10	0.19530	0.77980	
332.36	0.19200	0.76660	
332.52	0.18150	0.72470	
333.02	0.09930	0.89280	
332.85	0.09810	0.88220	
334.19	0.09320	0.73840	
335.65	0.03780	0.92600	
337.20	0.03690	0.90130	
337.65	0.03610	0.88390	
Source	
Barbaudy J.: III. Le système alcool méthylique-benzène-eau. Ann.Off.Nat.Comb.Liq.Paris 6 (1931) 229-242	
$$$Vapor-Liquid Equilibrium Data Set 28927	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	CH4O	32.042	67-56-1	Methanol	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	
342.40	0.96750	0.00000	
339.40	0.95820	0.00950	
337.40	0.94930	0.01860	
336.08	0.94030	0.02770	
335.15	0.93160	0.03660	
334.52	0.92300	0.04530	
334.05	0.91460	0.05380	
333.70	0.90620	0.06240	
333.13	0.88630	0.08270	
332.80	0.86800	0.10130	
332.40	0.83300	0.13710	
342.65	0.01250	0.39500	
337.15	0.02460	0.39020	
334.73	0.03000	0.38760	
334.70	0.03650	0.38540	
334.65	0.04810	0.38080	
334.60	0.05940	0.37620	
334.55	0.07040	0.37180	
343.37	0.00820	0.29750	
337.36	0.01360	0.29590	
335.95	0.01500	0.29550	
335.92	0.01900	0.29430	
335.85	0.02430	0.29270	
335.82	0.03470	0.28960	
335.72	0.04540	0.28630	
340.40	0.00710	0.19860	
338.00	0.00940	0.19810	
337.65	0.01000	0.19800	
337.60	0.01400	0.19720	
337.43	0.01870	0.19630	
337.35	0.02720	0.19460	
344.75	0.00550	0.09950	
339.85	0.00800	0.09920	
339.95	0.01060	0.09890	
339.83	0.01320	0.09860	
339.73	0.01850	0.09810	
339.63	0.02870	0.09710	
338.10	0.02840	0.47790	
335.50	0.03660	0.47280	
333.55	0.04200	0.47070	
333.65	0.04460	0.47000	
333.80	0.05250	0.46600	
338.68	0.02850	0.49180	
335.63	0.04170	0.49180	
333.78	0.05400	0.49180	
333.45	0.05800	0.49180	
333.38	0.06580	0.49180	
333.28	0.08730	0.49180	
333.18	0.10700	0.49180	
333.15	0.11200	0.49180	
Source	
Barbaudy J.: III. Le système alcool méthylique-benzène-eau. Ann.Off.Nat.Comb.Liq.Paris 6 (1931) 229-242	
Source	
