$$$Vapor-Liquid Equilibrium Data Set 2579	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C3H6O	58.080	67-64-1	Acetone	
3	C2H6O	46.069	64-17-5	Ethanol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
332.80	0.90000	0.00000	0.87500	0.00000	
334.05	0.80000	0.10000	0.80000	0.05500	
334.05	0.70000	0.10000	0.74000	0.06000	
334.55	0.60000	0.10000	0.69000	0.07000	
335.70	0.50000	0.10000	0.64000	0.08500	
336.95	0.40000	0.10000	0.57500	0.10000	
338.55	0.30000	0.10000	0.47500	0.13000	
340.75	0.20000	0.10000	0.34500	0.17000	
335.20	0.70000	0.20000	0.73000	0.14000	
335.35	0.60000	0.20000	0.65000	0.16000	
336.10	0.50000	0.20000	0.57000	0.17500	
337.05	0.40000	0.20000	0.49000	0.22000	
338.30	0.30000	0.20000	0.39000	0.25000	
339.65	0.20000	0.20000	0.27000	0.30000	
336.15	0.60000	0.30000	0.61000	0.25500	
336.25	0.50000	0.30000	0.51500	0.28500	
336.70	0.40000	0.30000	0.44000	0.31500	
337.45	0.30000	0.30000	0.33500	0.36000	
336.35	0.50000	0.40000	0.46500	0.40500	
336.50	0.30000	0.40000	0.29400	0.46000	
336.25	0.40000	0.40000	0.37500	0.43000	
336.65	0.20000	0.40000	0.20000	0.49500	
334.55	0.30000	0.60000	0.20000	0.68000	
334.20	0.20000	0.60000	0.13000	0.69500	
333.85	0.10000	0.60000	0.06500	0.70500	
331.60	0.10000	0.80000	0.07000	0.86500	
Source	
Morachevskii A.G.; Leontev N.P.: Liquid-Vapor Equilibrium in the Ternary System Acetone-Chloroform Ethanol. Russ.J.Phys.Chem. 34 (1960) 1114-1115	
$$$Vapor-Liquid Equilibrium Data Set 8511	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CHCl3	119.377	67-66-3	Chloroform	
3	C2H6O	46.069	64-17-5	Ethanol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
334.16	0.10000	0.80000	0.06000	0.82500	
334.20	0.10000	0.70000	0.06100	0.74900	
335.44	0.20000	0.70000	0.14900	0.72900	
334.74	0.10000	0.60000	0.07100	0.69100	
335.63	0.20000	0.60000	0.16500	0.64500	
336.65	0.30000	0.60000	0.26700	0.61600	
335.65	0.10000	0.50000	0.08400	0.63700	
336.24	0.20000	0.50000	0.18100	0.57700	
336.43	0.30000	0.50000	0.28500	0.52000	
336.55	0.40000	0.50000	0.41300	0.46700	
337.06	0.10000	0.40000	0.10000	0.57100	
337.10	0.20000	0.40000	0.20800	0.49700	
336.85	0.30000	0.40000	0.31400	0.43100	
336.45	0.40000	0.40000	0.43300	0.38400	
335.95	0.50000	0.40000	0.55800	0.34000	
338.70	0.10000	0.30000	0.13000	0.47500	
338.45	0.20000	0.30000	0.25000	0.40000	
337.54	0.30000	0.30000	0.35800	0.34400	
336.55	0.40000	0.30000	0.46200	0.30000	
335.72	0.50000	0.30000	0.57500	0.26500	
334.15	0.60000	0.30000	0.68000	0.23300	
340.93	0.10000	0.20000	0.16300	0.36200	
339.78	0.20000	0.20000	0.30000	0.28500	
338.13	0.30000	0.20000	0.40600	0.24600	
336.75	0.40000	0.20000	0.50200	0.20700	
335.56	0.50000	0.20000	0.59900	0.18100	
334.43	0.60000	0.20000	0.70000	0.15800	
333.72	0.70000	0.20000	0.79700	0.13200	
343.55	0.10000	0.10000	0.21100	0.20900	
341.00	0.20000	0.10000	0.35400	0.15600	
338.88	0.30000	0.10000	0.46700	0.13000	
337.03	0.40000	0.10000	0.56300	0.10700	
335.40	0.50000	0.10000	0.63500	0.09500	
334.15	0.60000	0.10000	0.72000	0.08000	
332.86	0.70000	0.10000	0.80200	0.07100	
331.95	0.80000	0.10000	0.87700	0.05700	
Source	
Susarev M.P.; Zapolskaya M.A.; Vinichenko I.G.: Liquid-Vapor Equilibrium in the System Acetone-Chloroform-Ethanol. Russ.J.Phys.Chem. 39 (1965) 1279-1282	
$$$Vapor-Liquid Equilibrium Data Set 8512	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CHCl3	119.377	67-66-3	Chloroform	
3	C2H6O	46.069	64-17-5	Ethanol	
Temperature	328.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
