$$$Vapor-Liquid Equilibrium Data Set 1805	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	CH4O	32.042	67-56-1	Methanol	
3	C4H8O2	88.106	141-78-6	Ethyl acetate	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
345.15	0.07500	0.07700	0.05700	0.23800	
338.55	0.08200	0.24600	0.06000	0.47000	
337.25	0.14700	0.30300	0.11800	0.49400	
335.05	0.12200	0.53900	0.12200	0.61800	
335.95	0.12300	0.44500	0.10800	0.57400	
336.95	0.07900	0.34700	0.05900	0.51300	
336.25	0.06000	0.47000	0.05000	0.58500	
335.25	0.05800	0.63400	0.06400	0.66700	
335.45	0.04800	0.56900	0.04500	0.64000	
335.35	0.04600	0.65100	0.05100	0.68100	
335.55	0.04000	0.86100	0.07600	0.81400	
334.55	0.10400	0.64500	0.12600	0.66500	
334.55	0.10100	0.65700	0.11800	0.67300	
335.15	0.06300	0.72500	0.08300	0.71300	
334.45	0.08600	0.73800	0.11800	0.71800	
335.15	0.08700	0.57500	0.08700	0.64400	
335.25	0.07000	0.79200	0.11100	0.75000	
337.65	0.25000	0.24100	0.21800	0.44200	
335.95	0.21900	0.36000	0.19700	0.54800	
335.65	0.19000	0.43200	0.18000	0.58000	
334.25	0.13600	0.67800	0.17800	0.66300	
334.45	0.12000	0.63700	0.14400	0.65500	
342.15	0.31400	0.12200	0.28100	0.31600	
335.55	0.22200	0.38300	0.20400	0.54400	
333.65	0.20200	0.59700	0.24200	0.61900	
333.45	0.18000	0.65100	0.24000	0.63900	
334.25	0.09700	0.82200	0.17800	0.74800	
342.95	0.41600	0.07100	0.40900	0.23500	
336.75	0.36400	0.20700	0.32900	0.41400	
333.15	0.28900	0.48200	0.32200	0.55300	
335.15	0.34700	0.30000	0.32900	0.48900	
332.15	0.22300	0.65900	0.31900	0.60300	
334.05	0.38400	0.31400	0.37600	0.47500	
332.15	0.34500	0.46500	0.38800	0.52600	
331.45	0.33800	0.50400	0.39800	0.53100	
330.45	0.32700	0.57900	0.43300	0.50900	
330.65	0.26500	0.66000	0.40100	0.55800	
334.55	0.48600	0.21100	0.46300	0.41200	
334.75	0.50700	0.19100	0.48500	0.38000	
332.95	0.47000	0.28500	0.46700	0.42600	
331.05	0.41900	0.40700	0.47000	0.47800	
338.85	0.59700	0.07700	0.60300	0.24200	
333.15	0.52700	0.21900	0.50900	0.39300	
330.65	0.49900	0.33800	0.51500	0.43700	
330.45	0.49200	0.36300	0.51200	0.44900	
329.15	0.43400	0.48600	0.52900	0.44800	
329.85	0.39700	0.51800	0.48800	0.47500	
332.85	0.58800	0.18300	0.57000	0.36100	
336.95	0.65300	0.08200	0.65200	0.24700	
330.55	0.60800	0.23400	0.58400	0.37100	
329.15	0.59900	0.35100	0.58000	0.40200	
330.25	0.68000	0.20000	0.63400	0.34700	
330.35	0.82400	0.10200	0.73600	0.24800	
340.25	0.19500	0.17400	0.15800	0.38600	
331.25	0.20800	0.74500	0.35300	0.62200	
340.65	0.11500	0.17900	0.08800	0.38200	
345.45	0.17000	0.07200	0.14400	0.24100	
341.95	0.48200	0.06700	0.48100	0.23500	
330.35	0.29000	0.64400	0.42600	0.54000	
331.65	0.20600	0.74000	0.34500	0.61700	
341.65	0.47000	0.07100	0.46800	0.23500	
339.55	0.54000	0.07500	0.54200	0.24400	
332.25	0.45400	0.32500	0.46400	0.44000	
333.75	0.73100	0.07700	0.70400	0.23000	
329.05	0.56600	0.34200	0.58400	0.39100	
338.95	0.24600	0.19700	0.20600	0.42000	
335.55	0.03300	0.86100	0.05800	0.80900	
335.75	0.03000	0.89800	0.05700	0.83800	
337.55	0.07600	0.32800	0.05900	0.50600	
329.75	0.32900	0.63900	0.46800	0.51700	
Source	
Nagata I.: Isobaric Vapor-Liquid Equilibria for the Ternary System Chloroform-Methanol-Ethyl Acetate. J.Chem.Eng.Data 7 (1962) 367-373	
Source	
