$$$Vapor-Liquid Equilibrium Data Set 2547
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
Pressure	287.48	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
378.15	0.00500	0.54900	0.11000	0.59300
377.15	0.01000	0.47600	0.05400	0.57400
376.15	0.00800	0.23400	0.07400	0.51400
370.15	0.01700	0.47600	0.11600	0.56700
369.15	0.01700	0.83700	0.07700	0.80300
362.15	0.00900	0.27300	0.15300	0.39200
356.15	0.06000	0.68900	0.34500	0.49100
355.15	0.04800	0.51500	0.30600	0.48300
355.15	0.06900	0.79800	0.33800	0.49000
353.15	0.07400	0.61300	0.42400	0.42600
351.15	0.03100	0.46700	0.28400	0.47000
351.15	0.03900	0.50900	0.21600	0.47700
348.15	0.04100	0.79100	0.28200	0.58200
348.15	0.10300	0.57300	0.47900	0.36500
347.15	0.00900	0.15800	0.29600	0.37200
347.15	0.11800	0.55600	0.50400	0.29600
347.15	0.12100	0.44500	0.60300	0.27400
346.15	0.02300	0.25500	0.45600	0.30600
346.15	0.13900	0.44000	0.61400	0.26000
345.15	0.00500	0.14900	0.30300	0.36500
345.15	0.17300	0.42400	0.66400	0.24300
345.15	0.231000.47000	0.67900	0.23100
345.15	0.24200	0.38200	0.69400	0.20900
344.15	0.01600	0.08700	0.46800	0.30400
344.15	0.02300	0.16600	0.67200	0.30700
344.15	0.03000	0.41200	0.27000	0.47000
344.15	0.27000	0.47700	0.69300	0.22600
343.15	0.01300	0.17600	0.38000	0.30600
343.15	0.02300	0.30700	0.38800	0.38700
343.15	0.22300	0.40400	0.67200	0.22500
343.15	0.36800	0.44700	0.73300	0.20300
342.15	0.11200	0.35500	0.64400	0.26700
342.15	0.18500	0.45400	0.67600	0.24000
341.15	0.16700	0.58300	0.57100	0.35600
341.15	0.32000	0.50700	0.70200	0.21700
339.15	0.00600	0.08500	0.64400	0.29200
339.15	0.00800	0.08100	0.64300	0.32200
336.15	0.85700	0.13500	0.94100	0.05400
335.15	0.22700	0.18800	0.77200	0.16600
Source
Moeller W.P.; Englund S.W.; Tsui T.K.; Othmer D.F.: Compositions of Vapors from Boiling Solutions. Ind.Eng.Chem. 43 (1951) 711-717
$$$Vapor-Liquid Equilibrium Data Set 2548
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
Pressure	515.01	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
397.15	0.00900	0.49300	0.02300	0.59600
393.15	0.00400	0.11500	0.11100	0.33600
390.15	0.02800	0.54600	0.12400	0.59700
389.15	0.02700	0.83300	0.12200	0.73700
388.15	0.04000	0.82200	0.17800	0.69600
384.15	0.08400	0.77800	0.33700	0.59200
382.15	0.06200	0.56000	0.31100	0.48200
381.15	0.06300	0.69800	0.24500	0.57000
381.15	0.07400	0.72100	0.27200	0.57500
381.15	0.08700	0.66400	0.30600	0.48000
379.15	0.00900	0.52100	0.03200	0.63000
377.15	0.01000	0.47600	0.05400	0.57400
377.15	0.06900	0.51700	0.33800	0.43100
376.15	0.01400	0.22300	0.33900	0.37800
376.15	0.04700	0.44500	0.31000	0.43800
376.15	0.13000	0.64200	0.38600	0.42700
375.15	0.01500	0.58100	0.06300	0.64500
372.15	0.11400	0.48200	0.43600	0.37000
371.15	0.05100	0.35400	0.37600	0.36900
371.15	0.07100	0.40600	0.39300	0.40400
371.15	0.23800	0.57400	0.51900	0.36600
370.15	0.11300	0.48900	0.46300	0.38800
369.15	0.00400	0.12800	0.07100	0.42800
369.15	0.00700	0.08300	0.08500	0.26900
367.15	0.25000	0.42900	0.54600	0.25300
364.15	0.30900	0.45800	0.61000	0.25800
364.15	0.57400	0.31900	0.73700	0.15600
362.15	0.44600	0.26400	0.71800	0.15100
362.15	0.70900	0.23800	0.82800	0.10100
361.15	0.49300	0.24100	0.72400	0.15300
361.15	0.72100	0.22500	0.84400	0.11000
361.15	0.85700	0.09700	0.93600	0.04400
361.15	0.86300	0.11800	0.94100	0.03900
Source
Moeller W.P.; Englund S.W.; Tsui T.K.; Othmer D.F.: Compositions of Vapors from Boiling Solutions. Ind.Eng.Chem. 43 (1951) 711-717
$$$Vapor-Liquid Equilibrium Data Set 2549
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
Pressure	721.85	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
430.15	0.00300	0.03300	0.00500	0.20400
416.15	0.00700	0.50000	0.02300	0.59600
416.15	0.07400	0.88900	0.13600	0.83900
