$$$Vapor-Liquid Equilibrium Data Set 14701	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C2H3N	41.053	75-05-8	Acetonitrile	
4	C6H6	78.114	71-43-2	Benzene	
Temperature	318.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]	
23.051	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	
27.771	0.00000	0.00000	1.00000	0.00000	0.00000	1.00000	
29.824	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
46.490	0.09400	0.10800	0.41400	0.18800	0.11400	0.31800	
38.863	0.11800	0.57800	0.23400	0.14200	0.39500	0.29500	
40.223	0.11800	0.60600	0.14300	0.14000	0.38500	0.19800	
42.890	0.13600	0.41800	0.29200	0.16600	0.27900	0.29300	
43.730	0.18100	0.25100	0.43800	0.23800	0.19700	0.36900	
33.597	0.19200	0.73200	0.03900	0.26000	0.50900	0.10000	
47.703	0.19700	0.21000	0.30200	0.25600	0.15900	0.25600	
46.676	0.19700	0.31900	0.24900	0.24100	0.20500	0.23000	
34.211	0.20100	0.71900	0.02200	0.25900	0.49100	0.05400	
32.784	0.20300	0.70600	0.07100	0.26200	0.50900	0.16000	
43.290	0.20900	0.30700	0.38100	0.25000	0.23000	0.35000	
42.157	0.21000	0.54400	0.07100	0.23300	0.33200	0.10400	
42.263	0.22900	0.37900	0.30900	0.26700	0.25900	0.32000	
43.343	0.26600	0.49100	0.09900	0.28900	0.29000	0.13600	
41.063	0.27500	0.45200	0.20100	0.30800	0.27500	0.25200	
49.289	0.27900	0.28700	0.11800	0.32100	0.16900	0.11900	
44.996	0.29500	0.44700	0.07000	0.31100	0.25000	0.09400	
54.489	0.39800	0.11500	0.12800	0.44600	0.06600	0.10900	
53.476	0.40000	0.10500	0.25300	0.43900	0.06200	0.19900	
38.637	0.46400	0.44500	0.06800	0.51700	0.29200	0.12100	
49.169	0.47700	0.24500	0.14800	0.46800	0.12500	0.16000	
48.449	0.50500	0.18800	0.20200	0.49900	0.10200	0.20200	
52.769	0.50700	0.21700	0.07300	0.48600	0.11100	0.07900	
43.170	0.68000	0.23000	0.06800	0.69700	0.12300	0.11200	
44.423	0.69400	0.22400	0.04400	0.69300	0.11600	0.07300	
44.156	1.00000	0.00000	0.00000	1.00000	0.00000	0.00000	
Source	
Nagata I.: Isothermal Vapour-Liquid Equilibrium for the Methanol-Ethanol-Acetonitrile-Benzene System. Thermochim.Acta 157 (1990) 95-104	
Source	
