$$$Vapor-Liquid Equilibrium Data Set 4888
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O2	62.068	107-21-1	Acetic acid butyl ester
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Pressure	96.66	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
468.85	0.000000.00000
462.05	0.00380	0.19130
448.15	0.01330	0.47160
427.55	0.04000	0.74450
422.35	0.05150	0.79000
407.15	0.12470	0.88300
405.35	0.18490	0.88600
404.45	0.31710	0.88900
404.45	0.42870	0.88900
404.45	0.51590	0.88900
404.45	0.52740	0.88900
403.95	0.66620	0.90200
403.65	0.68980	0.90600
403.25	0.73450	0.91450
401.65	0.83050	0.93500
400.55	0.87400	0.94600
399.75	0.92080	0.96200
399.15	0.94840	0.97400
397.85	1.000001.00000
Source
Mainkar S.V.; Mene P.S.: Binary Vapour Liquid Equilibria for n-Butanol Ethylene Glycol & n-Butyl Acetate-Ethylene Glycol Systems. Indian J.Technol. 8 (1970) 320-322
Source
Mainkar S.V.; Mene P.S.: Binary Vapour Liquid Equilibria for n-Butanol Ethylene Glycol & n-Butyl Acetate-Ethylene Glycol Systems. Indian J.Technol. 8 (1970) 320-322
