$$$Vapor-Liquid Equilibrium Data Set 2553	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C3H8O	60.096	67-63-0	2-Propanol	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
363.15	0.00300	0.01200	0.14000	0.17800	
355.15	0.00400	0.07500	0.09700	0.40500	
353.15	0.00400	0.59000	0.01500	0.61400	
353.15	0.00400	0.64400	0.00900	0.66000	
353.15	0.00500	0.69000	0.01500	0.68500	
353.15	0.00500	0.80200	0.01500	0.77000	
353.15	0.00800	0.74400	0.01900	0.71500	
353.15	0.00900	0.24300	0.10200	0.46400	
353.15	0.00900	0.38600	0.05300	0.53000	
353.15	0.00900	0.76600	0.01500	0.74400	
363.15	0.01000	0.00800	0.21200	0.10200	
353.15	0.01000	0.52000	0.03000	0.59000	
353.15	0.01100	0.07400	0.22400	0.32500	
355.15	0.01200	0.06200	0.13800	0.37200	
353.15	0.01300	0.07200	0.21800	0.33600	
355.15	0.01400	0.04400	0.21800	0.29300	
353.15	0.01600	0.15100	0.13500	0.43500	
353.15	0.01600	0.27800	0.09000	0.48000	
353.15	0.01700	0.94100	0.08800	0.85800	
353.15	0.01750	0.17500	0.12200	0.44800	
355.15	0.01800	0.04500	0.21400	0.29200	
355.15	0.02000	0.01900	0.34900	0.15300	
353.15	0.02600	0.02000	0.41000	0.14200	
350.15	0.03400	0.03600	0.45200	0.16500	
348.15	0.04200	0.01900	0.57700	0.07800	
348.15	0.04700	0.02200	0.55100	0.10100	
350.15	0.04700	0.17800	0.28600	0.34400	
346.15	0.05000	0.04000	0.52500	0.14000	
350.15	0.05900	0.46600	0.17600	0.47800	
348.15	0.06500	0.13000	0.37700	0.26600	
346.15	0.07800	0.09500	0.46000	0.21100	
348.15	0.08200	0.29400	0.32800	0.34200	
343.15	0.08300	0.03600	0.63200	0.08600	
348.15	0.09000	0.48000	0.28400	0.42100	
348.15	0.10500	0.61000	0.27000	0.49600	
348.15	0.10800	0.67500	0.27300	0.53100	
342.15	0.11000	0.05000	0.63800	0.10800	
346.15	0.12400	0.29000	0.40000	0.29600	
341.15	0.13200	0.05300	0.64200	0.10900	
346.15	0.14000	0.58000	0.33800	0.45600	
342.15	0.14800	0.11400	0.58900	0.15700	
343.15	0.15500	0.15000	0.53000	0.19400	
339.15	0.16600	0.02400	0.72800	0.04100	
341.15	0.19000	0.12000	0.60000	0.15000	
343.15	0.19200	0.28100	0.49200	0.25500	
338.15	0.19800	0.03400	0.73100	0.04900	
339.15	0.20500	0.06800	0.68000	0.09700	
342.15	0.21200	0.18200	0.53700	0.21900	
343.15	0.22600	0.53200	0.47700	0.35600	
343.15	0.22700	0.55000	0.47400	0.36600	
342.15	0.23600	0.33600	0.52000	0.25600	
338.15	0.24600	0.05700	0.73700	0.03700	
339.15	0.25300	0.11000	0.65200	0.12700	
342.15	0.26200	0.49200	0.49700	0.33300	
341.15	0.26600	0.28200	0.56000	0.22000	
337.15	0.26900	0.05200	0.74700	0.04600	
341.15	0.29400	0.48400	0.54500	0.30800	
339.15	0.32400	0.19700	0.64000	0.16400	
338.15	0.34400	0.17500	0.68700	0.11700	
336.15	0.35600	0.06400	0.74500	0.05900	
339.15	0.37600	0.42100	0.61600	0.25900	
338.15	0.38200	0.27400	0.63900	0.18900	
337.15	0.38500	0.17500	0.70200	0.11400	
337.15	0.38900	0.21200	0.67400	0.15400	
338.15	0.39900	0.41500	0.65700	0.22900	
335.15	0.41000	0.03900	0.76600	0.05100	
338.15	0.41500	0.46500	0.67300	0.25000	
337.15	0.43600	0.38600	0.68300	0.21200	
337.15	0.43800	0.30000	0.67900	0.17500	
336.15	0.44800	0.17500	0.71600	0.12500	
335.15	0.45800	0.06500	0.77000	0.06000	
336.15	0.46000	0.22800	0.69800	0.14300	
336.15	0.46600	0.31000	0.70500	0.17300	
335.15	0.50200	0.16100	0.74600	0.09500	
334.15	0.52300	0.06700	0.79900	0.04300	
335.15	0.52400	0.26700	0.73100	0.15300	
335.15	0.55100	0.29700	0.74000	0.16900	
333.15	0.56900	0.05000	0.82600	0.02600	
334.15	0.58500	0.17700	0.77800	0.10300	
334.15	0.62000	0.26100	0.79500	0.14400	
333.15	0.62500	0.12600	0.80000	0.07000	
332.15	0.65200	0.06200	0.83700	0.03100	
333.15	0.67300	0.21100	0.83800	0.10300	
332.15	0.69900	0.10500	0.85500	0.04000	
332.15	0.73600	0.17300	0.86000	0.09300	
331.15	0.75700	0.05900	0.86500	0.03600	
331.15	0.80800	0.13000	0.90100	0.05200	
Source	
Choffé B.; Asselineau L.: Première partie: étude des équilibres binaires. Rev.Inst.Francais Petrol. 11 (1956) 948-954	
$$$Vapor-Liquid Equilibrium Data Set 3737	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
334.05	0.20000	0.60000	0.10400	0.78800	
338.40	0.40000	0.40000	0.22200	0.65900	
344.60	0.60000	0.20000	0.41400	0.42800	
337.25	0.20000	0.40000	0.11400	0.70500	
343.85	0.40000	0.20000	0.29700	0.46600	
343.01	0.20000	0.20000	0.20900	0.54600	
Source	
Verhoeye L.A.; de Schepper H.: The Vapor-Liquid Equilibria of the Binary, Ternary and Quaternary Systems Formed by Acetone, Methanol Propan-2-ol and Water. J.Appl.Chem.Biotechnol. 23 (1973) 607-619	
$$$Vapor-Liquid Equilibrium Data Set 3738	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	H2O	18.015	7732-18-5	Water	
Temperature	348.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
158.770	0.31500	0.58500	0.18370	0.73210	
154.650	0.29000	0.52000	0.16580	0.70020	
150.270	0.24500	0.45500	0.15310	0.67240	
144.811	0.21000	0.39000	0.14310	0.65170	
139.561	0.17500	0.32500	0.13760	0.63370	
134.870	0.14000	0.26000	0.13660	0.61750	
128.200	0.10500	0.19500	0.13610	0.59880	
123.321	0.07000	0.13000	0.14630	0.57330	
105.710	0.03500	0.06500	0.15110	0.50960	
Source	
Ramalho R.S.; Drolet J.F.: Vapor-Liquid Equilibria Data for the Ternary System Acetone-2-Propanol-Water and Corresponding Binaries from Total Pressure Measurements. J.Chem.Eng.Data 16 (1971) 12-15	
Source	
