$$$Vapor-Liquid Equilibrium Data Set 28194
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	C6H12	84.161	110-82-7	Cyclohexane
3	C4H8O	72.107	109-99-9	Tetrahydrofuran
Temperature	313.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
32.479	0.14750	0.75430	0.23090	0.61600
33.924	0.28550	0.59000	0.32460	0.50860
33.982	0.44990	0.43170	0.42040	0.43590
33.217	0.61100	0.27550	0.51440	0.34760
32.224	0.70500	0.18770	0.57900	0.28210
34.115	0.12820	0.66840	0.17100	0.52880
35.038	0.25510	0.51500	0.26400	0.44560
34.921	0.39930	0.37650	0.35590	0.37890
34.187	0.53910	0.23880	0.36450	0.24850
33.044	0.64610	0.16440	0.52070	0.24180
35.540	0.11260	0.57290	0.13030	0.45180
36.156	0.21870	0.43810	0.20880	0.38160
35.883	0.34150	0.32350	0.29060	0.32310
34.024	0.55940	0.14360	0.43760	0.20330
36.748	0.09610	0.48510	0.10210	0.38680
37.140	0.18350	0.36150	0.16550	0.31890
36.808	0.28600	0.26640	0.23200	0.26710
36.022	0.39260	0.16680	0.30040	0.19920
35.060	0.46660	0.12010	0.35710	0.16170
37.850	0.07910	0.39440	0.07510	0.32480
37.993	0.15230	0.28960	0.12750	0.26310
37.609	0.23130	0.21340	0.18260	0.21460
36.830	0.31240	0.13690	0.23940	0.15700
36.061	0.37910	0.09560	0.28120	0.12340
38.652	0.06440	0.31210	0.05600	0.26730
38.573	0.12070	0.23190	0.09690	0.21460
38.213	0.18810	0.16690	0.14040	0.17100
37.528	0.25310	0.10680	0.18520	0.12300
36.905	0.30140	0.07370	0.22020	0.09220
39.257	0.05130	0.24480	0.04200	0.21750
39.050	0.09790	0.18400	0.07610	0.17650
39.350	0.09200	0.07840	0.06700	0.08490
38.122	0.19980	0.08140	0.14650	0.09290
37.620	0.24340	0.05450	0.17780	0.06740
Source
Wu H.S.; Sandler S.I.: Vapor-Liquid Equilibria of Tetrahydrofuran Systems. J.Chem.Eng.Data 33 (1988) 157-162
Source
