$$$Vapor-Liquid Equilibrium Data Set 16987
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CHCl3	119.377	67-66-3	Chloroform
3	C4H8O2	88.106	141-78-6	Ethyl acetate
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
343.60	0.23900	0.14200	0.39300	0.10900
338.60	0.44800	0.10300	0.62000	0.06700
342.70	0.34100	0.27800	0.49500	0.23000
343.00	0.26200	0.40100	0.38400	0.37800
342.40	0.18800	0.51800	0.25800	0.54200
344.00	0.21300	0.26000	0.40300	0.21000
345.60	0.16100	0.23300	0.31200	0.19900
346.60	0.12100	0.21000	0.24900	0.18300
347.60	0.08900	0.17600	0.17500	0.15700
348.20	0.07100	0.15800	0.15300	0.13900
348.60	0.04800	0.13900	0.11000	0.12400
346.00	0.13000	0.26300	0.25500	0.24300
342.20	0.26700	0.22400	0.44600	0.17500
341.00	0.34000	0.21000	0.52200	0.14900
345.40	0.14400	0.26800	0.28300	0.23900
Source
Komatsu H.; Yamamoto H.: Vapor-Liquid Equilibrium Data for Ternary Systems of Acetone-Ethanol-N,N-Dimethyl Formamide (DMF), Ethyl Acetate-Water-DMF and Acetone-Chloroform-Ethyl Acetate at Atmospheric Pressure. Kagaku Kogaku Ronbunshu 22 (1996) 676-682
Source
