$$$Vapor-Liquid Equilibrium Data Set 12332	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	71-36-3	1-Butanol	
2	C2H3N	41.053	75-05-8	Acetonitrile	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	333.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
7.879	1.00000	0.00000	1.00000	0.00000	
49.076	0.00000	1.00000	0.00000	1.00000	
52.196	0.00000	0.00000	0.00000	0.00000	
61.488	0.06500	0.64700	0.02500	0.58700	
51.782	0.08300	0.84300	0.03800	0.80400	
56.915	0.18900	0.32800	0.05400	0.38900	
46.170	0.54800	0.18900	0.12400	0.36600	
35.650	0.68900	0.24400	0.17400	0.63300	
52.422	0.17600	0.06600	0.06600	0.11700	
55.195	0.24300	0.37800	0.06600	0.44400	
56.209	0.22900	0.33100	0.05900	0.40000	
53.662	0.24700	0.15400	0.07200	0.23500	
57.835	0.15400	0.25400	0.05000	0.32100	
53.142	0.30200	0.40700	0.07600	0.49300	
49.129	0.45000	0.16800	0.09800	0.30600	
46.689	0.46000	0.35400	0.10600	0.54100	
43.570	0.45700	0.45500	0.12100	0.68700	
50.329	0.39100	0.13400	0.09100	0.23100	
Source	
Nagata I.: Isothermal Vapor- liquid Equilibria for Binary and Ternary Mixtures Formed by 1-Butanol Acetonitrile and Benzene. Thermochim.Acta 112 (1987) 187-195	
Source	
