$$$Vapor-Liquid Equilibrium Data Set 6124
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C6H6	78.114	71-43-2	Benzene
3	C3H8O	60.096	67-63-0	2-Propanol
Temperature	318.15	K
x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
0.72240	0.07684	0.86115	0.05779
0.56554	0.08518	0.76045	0.08936
0.26574	0.06690	0.51115	0.11911
0.01140	0.00539	0.06832	0.00924
0.59926	0.24385	0.74891	0.19223
0.46330	0.28926	0.61818	0.23588
0.31340	0.33360	0.47872	0.31529
0.16451	0.29040	0.32062	0.39165
0.04716	0.12513	0.11261	0.30729
0.56212	0.32988	0.66420	0.25463
0.46520	0.40113	0.61170	0.29226
0.34216	0.49307	0.48209	0.39234
0.21502	0.56091	0.29308	0.52229
0.09285	0.61315	0.15990	0.58723
0.81989	0.07658	0.90854	0.05693
0.75188	0.09176	0.84774	0.07182
0.52156	0.11259	0.71876	0.11263
0.03221	0.01699	0.15474	0.07514
Source
Vitman T.A.; Zharov V.T.: Liquid-Vapor Equilibrium in the System Acetone-Benzene-Toluene-Isopropyl Alcohol and Verification of Data Obtained by the Open Evaporation Method. J.Appl.Chem.USSR 42 (1969) 2710-2713
Source
