$$$Vapor-Liquid Equilibrium Data Set 18363	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C6H6	78.114	71-43-2	Benzene	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
342.40	0.00000	0.98800	0.00000	0.70400	
342.40	0.00000	0.00060	0.00000	0.70400	
336.60	0.22200	0.74500	0.33670	0.51770	
336.60	0.03100	0.00100	0.33670	0.51770	
335.89	0.26600	0.69600	0.36570	0.48360	
335.89	0.04200	0.00200	0.36570	0.48360	
335.03	0.32100	0.60900	0.44250	0.42780	
335.03	0.06200	0.00400	0.44250	0.42780	
333.77	0.42000	0.46700	0.52560	0.32230	
333.77	0.08200	0.00300	0.52560	0.32230	
334.20	0.40600	0.48700	0.48930	0.37840	
334.20	0.08070	0.00440	0.48930	0.37840	
333.30	0.44900	0.41900	0.50620	0.33690	
333.30	0.08800	0.00300	0.50620	0.33690	
332.94	0.50000	0.31900	0.57060	0.27770	
332.94	0.10500	0.00300	0.57060	0.27770	
332.64	0.52100	0.17900	0.62990	0.22300	
332.94	0.14300	0.00400	0.62990	0.22300	
332.72	0.60000	0.32000	0.67430	0.24460	
331.12	0.80000	0.16000	0.85350	0.11340	
332.39	0.60000	0.24000	0.67900	0.21360	
330.93	0.80000	0.12000	0.84590	0.09530	
331.44	0.60000	0.16000	0.71020	0.18100	
330.68	0.80000	0.08000	0.86000	0.07900	
332.21	0.60000	0.08000	0.75270	0.11920	
330.66	0.80000	0.04000	0.87970	0.03580	
Source	
Polyakova E.V.; Rudakovskaya T.S.; Pavlenko T.G.; Timofeev V.S.; Serafimov L.A.: Experimentelle Untersuchung und Gleichgewichtsberechnung in Systemen mit verschließender Binodal. Fiziko-chimiceskie osnovy rektifikacii  (1977) 51-69	
Source	
