$$$Vapor-Liquid Equilibrium Data Set 15812	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	C2H3N	41.053	75-05-8	Acetonitrile	
3	C6H6	78.114	71-43-2	Benzene	
4	C2H6O	46.069	64-17-5	Ethanol	
Temperature	333.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]	
73.514	0.10100	0.29900	0.45500	0.09500	0.28300	0.45700	
73.341	0.11800	0.30800	0.33600	0.09000	0.28400	0.38900	
72.941	0.13700	0.14000	0.55300	0.12200	0.15200	0.53100	
74.461	0.11100	0.22000	0.48900	0.10000	0.21800	0.48500	
75.727	0.03400	0.23000	0.48800	0.02700	0.21900	0.47300	
68.154	0.03700	0.65700	0.18100	0.04100	0.53600	0.25400	
74.021	0.10900	0.21700	0.41600	0.08700	0.21600	0.44400	
67.088	0.09300	0.52300	0.08800	0.08100	0.47500	0.14100	
72.034	0.11200	0.34600	0.24300	0.08000	0.31600	0.32900	
73.581	0.11500	0.27800	0.33100	0.08400	0.26500	0.39200	
73.434	0.13300	0.28200	0.49600	0.13300	0.27500	0.48500	
68.034	0.07500	0.07900	0.78400	0.10800	0.10700	0.65200	
71.861	0.18600	0.19700	0.44100	0.15600	0.20200	0.46300	
73.061	0.14400	0.23500	0.37000	0.11400	0.23700	0.41100	
60.502	0.05200	0.04900	0.07800	0.03400	0.09800	0.20700	
67.221	0.07700	0.59200	0.12900	0.07100	0.49700	0.20200	
74.167	0.10100	0.26900	0.48200	0.09400	0.25800	0.47400	
69.928	0.22700	0.24600	0.20600	0.16500	0.26600	0.29100	
69.194	0.10000	0.31800	0.12900	0.06600	0.33400	0.22400	
73.167	0.17800	0.19600	0.33300	0.12400	0.22500	0.39600	
61.328	0.07100	0.81500	0.07400	0.11500	0.69800	0.12700	
Source	
Nagata I.: Isothermal (vapour + liquid) equilibria of (ethanol + propan-2-ol + acetonitrile + benzene) and (propan-2-ol + butan-2-ol + acetonitrile + benzene). J.Chem.Thermodyn. 26 (1994) 1287-1291	
Source	
