$$$Vapor-Liquid Equilibrium Data Set 2621
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CH4O	32.042	67-56-1	Methanol
3	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
345.15	0.03210	0.66370	0.11300	0.87890
344.25	0.05090	0.64830	0.16830	0.82330
343.15	0.07040	0.63070	0.21690	0.77540
342.25	0.09520	0.59840	0.27010	0.72270
341.05	0.12650	0.57230	0.33330	0.66050
339.95	0.15360	0.54430	0.39170	0.60190
339.25	0.17810	0.51700	0.43680	0.55730
338.65	0.20990	0.49250	0.48860	0.50610
337.65	0.26350	0.44460	0.54750	0.44730
337.05	0.28930	0.40050	0.58740	0.40790
336.35	0.34430	0.35110	0.63000	0.36590
335.65	0.39610	0.30100	0.68030	0.31560
335.15	0.45440	0.23850	0.74040	0.25620
334.75	0.50110	0.19370	0.77910	0.21790
334.65	0.52870	0.17430	0.80000	0.19730
334.35	0.55960	0.13830	0.82470	0.17240
334.25	0.59400	0.10550	0.84880	0.14860
334.95	0.62860	0.06200	0.89550	0.10130
336.05	0.66660	0.02480	0.94690	0.04970
353.85	0.01840	0.47800	0.11450	0.87430
353.05	0.03740	0.45380	0.20820	0.78040
351.75	0.05530	0.44350	0.27730	0.71260
350.35	0.08190	0.41330	0.36620	0.62460
347.65	0.14220	0.35000	0.51290	0.47770
346.75	0.16670	0.32310	0.56200	0.42880
344.25	0.23220	0.25940	0.66310	0.32780
342.85	0.28140	0.21840	0.72140	0.27010
342.25	0.30110	0.19730	0.74460	0.24670
341.85	0.32580	0.17160	0.77410	0.21730
341.55	0.34680	0.15460	0.79810	0.19360
341.15	0.36500	0.13080	0.82240	0.16970
340.85	0.38350	0.11390	0.84450	0.14740
340.55	0.40190	0.08870	0.87140	0.12100
340.15	0.44490	0.06410	0.90940	0.08330
339.85	0.45340	0.03810	0.93900	0.05340
374.15	0.01240	0.28270	0.17280	0.79450
372.95	0.02500	0.27140	0.27730	0.69080
371.75	0.03500	0.25530	0.35310	0.61710
370.35	0.05140	0.25150	0.41840	0.55020
368.95	0.06790	0.23230	0.48360	0.48640
367.75	0.08350	0.21510	0.54220	0.42790
366.15	0.10510	0.19400	0.60840	0.36180
364.65	0.12730	0.17010	0.67100	0.29880
363.65	0.14200	0.15650	0.70180	0.26850
362.85	0.15710	0.14410	0.73500	0.23630
362.25	0.17070	0.13090	0.76020	0.21140
361.75	0.17680	0.11850	0.77890	0.19360
361.15	0.19210	0.10400	0.80760	0.16500
360.35	0.21110	0.08470	0.83890	0.13380
359.65	0.23740	0.06490	0.87320	0.10120
359.05	0.24180	0.04810	0.89880	0.07610
358.65	0.26940	0.03170	0.92760	0.04780
358.45	0.27440	0.02320	0.94110	0.03500
399.75	0.00870	0.18790	0.20510	0.71130
398.55	0.01680	0.18530	0.31450	0.60450
396.75	0.02630	0.17200	0.39610	0.53130
394.45	0.04190	0.15950	0.48210	0.45210
393.15	0.04870	0.14570	0.52410	0.40910
391.75	0.05900	0.13650	0.58260	0.35530
389.85	0.07180	0.12510	0.63320	0.30890
387.95	0.08820	0.12010	0.67900	0.26890
377.95	0.18150	0.01360	0.94050	0.02330
383.05	0.12420	0.07460	0.80390	0.15210
382.25	0.13310	0.06450	0.83110	0.12540
380.95	0.14610	0.05080	0.86440	0.09540
379.95	0.16690	0.04120	0.88890	0.07170
378.55	0.17410	0.02230	0.92340	0.03850
377.95	0.18150	0.01360	0.94050	0.02320
Source
Chandramouli V.V.; Laddha G.S.: Vapour-Liquid Equilibria: Acetone-Methanol-Ethylene Glycol System. J.Sci.Ind.Res.B:Phys.Sci. 21 (1962) 269-274
Source
