$$$Vapor-Liquid Equilibrium Data Set 11661
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C3H8O	60.096	67-63-0	2-Propanol
3	C6H6	78.114	71-43-2	Benzene
Temperature	323.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
44.823	0.11000	0.05100	0.16900	0.11700
47.769	0.09800	0.35700	0.13000	0.30000
47.209	0.09400	0.46600	0.13000	0.33800
42.596	0.07200	0.70000	0.13400	0.44100
39.357	0.09500	0.77100	0.19300	0.49800
33.944	0.07900	0.87800	0.21900	0.63900
47.489	0.21300	0.12600	0.24900	0.17800
42.289	0.24300	0.26900	0.26000	0.24500
46.450	0.25300	0.52500	0.30600	0.35300
47.929	0.289000.37600	0.30200	0.28900
48.743	0.33400	0.24200	0.32100	0.22700
47.743	0.34400	0.09900	0.34600	0.13900
42.890	0.32800	0.57400	0.40800	0.39600
47.473	0.43700	0.12200	0.39700	0.15100
43.103	0.42200	0.48300	0.46000	0.36300
47.849	0.47900	0.29200	0.42500	0.25700
47.583	0.52300	0.11800	0.45000	0.14300
45.970	0.65800	0.10900	0.53700	0.14000
43.383	0.65900	0.25800	0.58300	0.26600
39.730	0.84600	0.11400	0.74700	0.16800
47.049	0.17500	0.43600	0.21100	0.31900
48.636	0.38700	0.21500	0.35900	0.21000
46.290	0.39100	0.41700	0.39700	0.31500
Source
Nagata I.: Vapor-Liquid Equilibrium for the Acetonitrille-2-Propanol-Benzene System at  50°C. J.Chem.Eng.Data 30 (1985) 363-365
Source
