$$$Vapor-Liquid Equilibrium Data Set 12855
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O	46.069	64-17-5	Ethanol
2	C2H3N	41.053	75-05-8	Acetonitrile
3	CHCl3	119.377	67-66-3	Chloroform
Temperature	313.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
41.037	0.36900	0.17200	0.21800	0.12200
28.558	0.15900	0.76100	0.23100	0.63000
28.931	0.15400	0.76700	0.21700	0.62800
40.343	0.25500	0.27700	0.19300	0.18000
43.143	0.11700	0.22100	0.11500	0.12800
39.250	0.41100	0.22500	0.25200	0.17700
30.398	0.62800	0.25100	0.42100	0.32600
30.691	0.36200	0.54400	0.34000	0.50000
27.864	0.03500	0.86200	0.06800	0.71300
36.304	0.58400	0.14400	0.32500	0.15800
35.504	0.61300	0.13100	0.34300	0.15500
35.490	0.47200	0.27600	0.31600	0.26000
35.170	0.45200	0.29700	0.30200	0.27000
35.544	0.38300	0.36700	0.28100	0.30900
35.170	0.28200	0.45800	0.24500	0.36100
34.677	0.27700	0.48200	0.24400	0.37400
34.704	0.19400	0.54900	0.20100	0.40100
34.744	0.14100	0.58200	0.16400	0.41200
33.024	0.07000	0.66500	0.10200	0.47800
41.437	0.42500	0.13000	0.24100	0.10000
41.677	0.35300	0.18400	0.22000	0.13000
40.010	0.26000	0.29700	0.19800	0.20100
40.770	0.24400	0.29200	0.18700	0.19200
38.117	0.08700	0.46400	0.10400	0.29900
46.103	0.32000	0.05500	0.18500	0.03300
45.356	0.17400	0.15700	0.13900	0.08600
42.983	0.07900	0.26200	0.09200	0.15200
32.637	0.60900	0.21900	0.38800	0.26800
33.651	0.42700	0.37300	0.32600	0.34300
32.717	0.20100	0.62100	0.22400	0.47700
38.570	0.41800	0.22800	0.25900	0.18700
40.157	0.17600	0.34500	0.15900	0.21800
41.570	0.50400	0.07800	0.25200	0.06500
34.171	0.29600	0.45700	0.25200	0.35900
Source
Nagata I.: Isothermal Vapor-Liquid Equilibria for the Ternary Ethanol-Acetonitrile-Chloroform System. J.Chem.Eng.Data 33 (1988) 286-288
Source
