$$$Vapor-Liquid Equilibrium Data Set 6444
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	C6H6	78.114	71-43-2	Benzene
3	C6H12	84.161	110-82-7	Cyclohexane
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
350.55	0.05300	0.07900	0.11200	0.08700
350.25	0.05500	0.15200	0.10700	0.16700
349.85	0.05800	0.23800	0.10000	0.24700
349.55	0.06300	0.36600	0.09700	0.35900
349.65	0.06500	0.44700	0.09100	0.43000
349.85	0.07000	0.56000	0.09000	0.52500
350.25	0.06600	0.63100	0.08300	0.59000
350.45	0.07000	0.69100	0.08700	0.64400
350.85	0.07300	0.76100	0.08800	0.71300
351.15	0.07200	0.79000	0.08300	0.74400
352.05	0.06400	0.87300	0.07400	0.84100
348.55	0.12000	0.09700	0.21100	0.09800
348.45	0.12300	0.17700	0.19900	0.17200
348.35	0.13400	0.23900	0.20100	0.22800
348.45	0.13700	0.33100	0.19000	0.30500
348.65	0.13900	0.39700	0.18300	0.36300
348.75	0.14600	0.46000	0.18400	0.41500
349.25	0.13200	0.55000	0.16100	0.50000
349.75	0.13500	0.62500	0.15800	0.56800
350.15	0.13500	0.68200	0.15700	0.62500
350.75	0.13000	0.74900	0.14900	0.69700
351.65	0.12500	0.81700	0.14400	0.77900
347.15	0.19200	0.09900	0.28700	0.09200
347.45	0.18300	0.19700	0.25700	0.17800
347.45	0.20000	0.25600	0.26100	0.22700
347.75	0.20000	0.33000	0.25000	0.29200
348.15	0.20600	0.39600	0.24700	0.34700
348.55	0.20000	0.48700	0.23200	0.42900
349.05	0.19700	0.56100	0.22400	0.49800
349.95	0.18400	0.64700	0.20900	0.58500
350.55	0.17100	0.71200	0.19300	0.65700
351.25	0.18000	0.76200	0.20200	0.71900
346.35	0.27000	0.09500	0.35200	0.08100
346.65	0.26600	0.17300	0.33400	0.14700
346.85	0.28400	0.25400	0.33400	0.21400
347.45	0.25500	0.33500	0.29800	0.28700
347.95	0.27700	0.41000	0.30700	0.35100
348.55	0.27000	0.48700	0.29500	0.42300
349.05	0.26600	0.55000	0.29000	0.48600
350.05	0.26300	0.62000	0.28500	0.56100
350.75	0.27300	0.67000	0.29700	0.62300
345.85	0.35000	0.10000	0.40800	0.08100
346.25	0.35000	0.18000	0.39200	0.14800
346.65	0.35500	0.25100	0.38600	0.20700
347.35	0.34600	0.34900	0.36900	0.29300
347.95	0.35500	0.41200	0.37300	0.35000
348.75	0.34300	0.48600	0.36000	0.42400
349.35	0.34200	0.53300	0.36100	0.47400
350.35	0.33600	0.60200	0.35600	0.55500
345.45	0.44000	0.09300	0.46600	0.07400
346.05	0.43500	0.17500	0.45300	0.14000
346.95	0.41200	0.29000	0.42500	0.23900
347.35	0.43000	0.32200	0.43700	0.26900
348.35	0.42200	0.40800	0.43000	0.35200
349.05	0.41000	0.47500	0.42200	0.42100
350.15	0.40700	0.53500	0.42500	0.49100
345.45	0.52000	0.09200	0.51600	0.07200
346.15	0.52000	0.17400	0.51100	0.14000
346.75	0.49000	0.25300	0.48500	0.20700
347.65	0.50000	0.32000	0.49500	0.27200
348.65	0.49500	0.38900	0.49700	0.34000
349.75	0.48700	0.45300	0.49800	0.41400
345.65	0.60300	0.09100	0.57300	0.07200
346.55	0.59400	0.17700	0.56900	0.14400
347.25	0.58700	0.23800	0.56700	0.20000
349.45	0.55900	0.38200	0.56100	0.34800
346.05	0.66600	0.09200	0.62000	0.07500
346.95	0.66100	0.16800	0.62500	0.14000
348.15	0.64700	0.24200	0.62400	0.21000
349.15	0.63300	0.30900	0.62800	0.28000
346.65	0.74400	0.08500	0.68700	0.07200
347.75	0.73000	0.16000	0.69400	0.13900
348.95	0.70600	0.23500	0.69000	0.21300
347.65	0.80200	0.08900	0.75300	0.07700
348.85	0.78800	0.15500	0.76500	0.14200
348.65	0.86000	0.08500	0.82600	0.07800
344.85	0.53500	0.02900	0.53400	0.02300
Source
Chao K.-C.: Vapor-Liquid Equilibria in the Ternary System Ethyl Acetate-Benzene-Cyclohexane. Thesis  (1956)
Source
