$$$Vapor-Liquid Equilibrium Data Set 13155
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H6	54.092	106-99-0	1,3-Butadiene
2	C2H3N	41.053	75-05-8	Acetonitrile
3	H2O	18.015	7732-18-5	Water
Temperature	348.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]
199.317	0.03830	0.89640
199.317	0.04100	0.87580
248.380	0.05110	0.89660
248.380	0.05180	0.87790
297.309	0.06050	0.87780
297.309	0.06680	0.86800
297.309	0.06980	0.86120
346.372	0.07870	0.85300
346.372	0.08210	0.82700
346.372	0.09310	0.84510
395.301	0.09960	0.82990
395.301	0.10490	0.83950
395.301	0.11610	0.81810
444.363	0.12510	0.81180
444.363	0.13110	0.79530
493.293	0.16590	0.79350
542.355	0.16310	0.78710
542.355	0.18260	0.75510
542.355	0.18470	0.76510
542.355	0.19080	0.76980
199.317	0.02380	0.77030
199.317	0.02360	0.79490
199.317	0.02320	0.76210
199.317	0.02970	0.82230
209.183	0.02140	0.78170
248.380	0.02910	0.76140
248.380	0.02920	0.76780
248.380	0.03920	0.80190
248.380	0.03950	0.78770
248.380	0.03950	0.78390
248.380	0.03040	0.73030
248.380	0.04180	0.80770
248.380	0.04290	0.77920
292.509	0.05370	0.79400
297.309	0.04380	0.76980
297.309	0.04680	0.80130
297.309	0.05000	0.78020
297.309	0.05050	0.77560
297.309	0.05440	0.76800
346.372	0.06270	0.79090
346.372	0.07030	0.78000
346.372	0.07100	0.75150
346.372	0.07450	0.79030
351.438	0.06700	0.81810
356.371	0.06010	0.75070
359.304	0.07180	0.78020
395.567	0.08750	0.76750
400.500	0.08280	0.76830
400.500	0.08950	0.79910
444.630	0.09840	0.73150
444.630	0.10080	0.72740
444.630	0.11000	0.72670
493.293	0.12120	0.73540
493.293	0.14010	0.70640
591.285	0.15870	0.68760
199.317	0.02010	0.68210
199.317	0.02650	0.70430
248.380	0.03050	0.69340
248.380	0.03200	0.68580
297.309	0.04070	0.66280
297.309	0.05100	0.70040
297.309	0.03850	0.69330
346.372	0.04120	0.68730
346.372	0.05370	0.70320
346.372	0.05540	0.66800
395.301	0.06460	0.66720
395.301	0.06520	0.65520
395.301	0.07500	0.67960
444.363	0.07090	0.66150
444.363	0.08860	0.65920
493.293	0.09340	0.65400
493.293	0.10070	0.65050
493.293	0.10370	0.63950
542.355	0.12000	0.63880
591.285	0.14120	0.62090
591.285	0.16970	0.61980
Source
Jingzhou H.; Zhejiang Univ.: A Study on the Vapor-Liquid Equilibrium for the Mixture of C4 Hydrocarbon Components and Acetonitrile Containing Water. Huaxue-gongcheng  (1975) 27-54
$$$Vapor-Liquid Equilibrium Data Set 37807
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H6	54.092	106-99-0	1,3-Butadiene
2	C2H3N	41.053	75-05-8	Acetonitrile
3	H2O	18.015	7732-18-5	Water
Pressure	506.63	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]
411.21	0.00000	0.89291
402.48	0.01004	0.88394
393.18	0.02355	0.87188
382.72	0.04283	0.85466
372.65	0.06903	0.83127
362.21	0.10293	0.80100
352.36	0.14452	0.76386
342.74	0.21303	0.70269
338.71	0.25000	0.66968
Source
Pavlov S.Y.; Gorshkov V.A.; Zaikina T.G.; Bushin A.N.; Skorikova V.V.: Separation and Purification of Butadiene via Extractive Fractionation with Acetonitrile. Soviet Chem.Ind. 2 (1970) 9-12
Source
