$$$Vapor-Liquid Equilibrium Data Set 33324
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C4H10O	74.123	71-36-3	1-Butanol
3	C6H14	86.177	110-54-3	Hexane
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
335.16	0.16900	0.47100	0.20400	0.03500
335.68	0.13900	0.53100	0.19900	0.04100
337.06	0.13600	0.56200	0.19600	0.04200
342.85	0.11000	0.67900	0.18900	0.06100
342.78	0.23500	0.61500	0.24300	0.06800
345.90	0.21400	0.67700	0.25500	0.07900
353.40	0.17600	0.73900	0.32100	0.12600
358.44	0.21100	0.73700	0.43600	0.16500
358.58	0.19600	0.74700	0.42200	0.16500
364.09	0.16200	0.81300	0.50300	0.22300
353.27	0.36500	0.60400	0.42000	0.13400
342.51	0.17200	0.62300	0.22000	0.06500
342.59	0.12500	0.63400	0.18900	0.06900
338.33	0.06700	0.48700	0.16000	0.04600
343.65	0.07600	0.66600	0.14800	0.05900
340.45	0.05400	0.56500	0.12700	0.05300
342.79	0.05300	0.62300	0.13300	0.05600
348.90	0.03800	0.72300	0.10600	0.08400
352.25	0.03800	0.78400	0.10100	0.12300
355.08	0.03800	0.80900	0.09900	0.15900
358.83	0.04000	0.83600	0.11100	0.19700
363.46	0.03200	0.87600	0.10000	0.25700
367.29	0.03000	0.89000	0.10800	0.27900
371.50	0.03100	0.91200	0.11700	0.38200
374.26	0.03900	0.91600	0.16300	0.39500
382.48	0.04900	0.94400	0.28300	0.56500
371.94	0.17200	0.82300	0.57600	0.35100
374.22	0.14900	0.84800	0.56300	0.38500
378.51	0.10100	0.89700	0.51800	0.44400
359.87	0.09500	0.82700	0.24500	0.20500
355.07	0.08700	0.80500	0.19900	0.15400
353.94	0.08600	0.78800	0.18600	0.14500
344.55	0.10100	0.63000	0.16200	0.08100
348.57	0.09200	0.73300	0.17000	0.10600
347.90	0.13600	0.70800	0.21800	0.10000
349.27	0.19500	0.70700	0.28700	0.10700
351.21	0.24300	0.68300	0.33700	0.11000
348.35	0.34400	0.59400	0.33100	0.10100
347.88	0.33200	0.59100	0.32800	0.10200
345.11	0.30300	0.60600	0.28700	0.08400
350.58	0.30300	0.63900	0.35800	0.11800
354.67	0.29000	0.66100	0.42300	0.14000
Source
Gornis V.; Font A.; Saquete M.D.; García-Cano J.: LLE, VLE and VLLE data for the watern-butanoln-hexane system at atmospheric pressure. Fluid Phase Equilib. 316 (2012) 135-140
Source
