$$$Vapor-Liquid Equilibrium Data Set 2931
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H4O2	60.053	64-19-7	Acetic acid
2	H2O	18.015	7732-18-5	Water
3	C8H10	106.167	106-42-3	p-Xylene
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
375.65	0.65000	0.28300	0.37300	0.45500
380.95	0.80100	0.16000	0.55100	0.33400
385.35	0.89800	0.08100	0.73000	0.21500
374.65	0.60000	0.23800	0.35700	0.45700
381.75	0.80000	0.12000	0.57500	0.27900
385.95	0.90000	0.06000	0.75000	0.15100
383.05	0.79900	0.08100	0.68900	0.22200
386.75	0.90000	0.03700	0.81300	0.10400
380.45	0.60000	0.08100	0.44500	0.35000
385.25	0.80000	0.04000	0.70000	0.15500
387.65	0.90000	0.02000	0.84500	0.06000
Source
Murogova R.A.; Tudorovskaya G.L.; Pleskach N.I.; Safonova N.A.; Gridin I.D.; Serafimov L.A.: Dampf-Flüssig-Gleichgewicht im System  Wasser - Essigsäure - p-Xylol bei 760 mm Hg. Zh.Prikl.Khim. 46 (1973) 2464-2467
Source
