$$$Vapor-Liquid Equilibrium Data Set 3853	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	308.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
50.103	0.11900	0.12800	0.29200	0.34700	
50.343	0.12000	0.25000	0.23500	0.39100	
50.249	0.11900	0.37800	0.20900	0.42000	
49.689	0.12100	0.50100	0.18200	0.44700	
49.396	0.12300	0.62900	0.18500	0.44800	
47.783	0.12500	0.75000	0.18500	0.47800	
52.196	0.25000	0.12300	0.42500	0.24000	
52.489	0.25000	0.25500	0.36200	0.30500	
51.929	0.25700	0.36500	0.32500	0.34200	
51.716	0.25300	0.49700	0.30700	0.36600	
50.316	0.25000	0.62500	0.32400	0.38700	
52.329	0.36600	0.13500	0.49500	0.19400	
53.316	0.38100	0.24200	0.44800	0.24700	
53.169	0.40300	0.35700	0.43000	0.28200	
51.822	0.37500	0.50000	0.43000	0.31700	
53.262	0.52200	0.10200	0.57500	0.13500	
53.836	0.53700	0.21400	0.53500	0.18900	
52.529	0.50000	0.37500	0.52000	0.25300	
52.982	0.66600	0.07800	0.64400	0.09500	
52.769	0.64100	0.23800	0.60700	0.18800	
52.076	0.81900	0.05600	0.73100	0.07800	
Source	
Marinichev A.N.; Susarev M.P.: Investigation of Phase Equilibria in the System Acetone-Methanol-Cyclohexane. J.Appl.Chem.USSR 38 (1965) 1034-1037	
$$$Vapor-Liquid Equilibrium Data Set 3854	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	318.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
74.661	0.11700	0.12700	0.27600	0.36700	
75.514	0.11800	0.24800	0.21700	0.42400	
75.674	0.11800	0.37900	0.19100	0.45200	
75.074	0.12100	0.50100	0.17200	0.46600	
74.767	0.12300	0.63100	0.17600	0.47100	
71.327	0.12500	0.75200	0.17800	0.49700	
79.167	0.24900	0.12000	0.41500	0.25200	
78.074	0.24800	0.25400	0.35000	0.32200	
77.954	0.25500	0.36900	0.31200	0.36700	
77.594	0.25400	0.49700	0.29000	0.39100	
75.460	0.25000	0.62600	0.31400	0.41200	
78.274	0.37000	0.13100	0.48800	0.20000	
79.087	0.38200	0.23900	0.43300	0.26700	
79.153	0.40500	0.37500	0.41400	0.30300	
77.234	0.37900	0.49700	0.41400	0.34300	
78.327	0.52400	0.09800	0.57700	0.13400	
79.647	0.53700	0.21400	0.52600	0.20200	
77.807	0.51100	0.36900	0.50700	0.27500	
77.807	0.66900	0.07600	0.65400	0.08800	
76.540	0.64700	0.23200	0.60900	0.19300	
76.487	0.82200	0.05400	0.74300	0.07600	
Source	
Marinichev A.N.; Susarev M.P.: Investigation of Phase Equilibria in the System Acetone-Methanol-Cyclohexane. J.Appl.Chem.USSR 38 (1965) 1034-1037	
$$$Vapor-Liquid Equilibrium Data Set 3855	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	328.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
109.591	0.11300	0.12600	0.26100	0.38400	
111.724	0.11600	0.24500	0.20300	0.44700	
111.857	0.11600	0.37900	0.17700	0.47300	
111.724	0.12100	0.50100	0.16200	0.48700	
111.324	0.12400	0.63400	0.15900	0.49900	
107.991	0.12400	0.75600	0.16500	0.53200	
111.857	0.24800	0.11500	0.40200	0.27100	
114.391	0.24400	0.25200	0.32000	0.36100	
114.791	0.25200	0.37500	0.29200	0.39300	
114.524	0.25600	0.49500	0.27900	0.41300	
111.324	0.24900	0.63000	0.29600	0.44500	
112.924	0.37600	0.12200	0.47500	0.21400	
115.191	0.38400	0.23500	0.42700	0.27900	
115.724	0.40700	0.37300	0.39600	0.32400	
113.057	0.38000	0.50000	0.39200	0.38200	
113.457	0.52800	0.09000	0.58000	0.13700	
115.324	0.53700	0.21400	0.50900	0.22700	
113.591	0.51500	0.36500	0.50800	0.27800	
114.391	0.67500	0.07400	0.65500	0.09500	
112.657	0.66100	0.21800	0.61700	0.18700	
110.524	0.82600	0.05200	0.74800	0.07200	
Source	
Marinichev A.N.; Susarev M.P.: Investigation of Phase Equilibria in the System Acetone-Methanol-Cyclohexane. J.Appl.Chem.USSR 38 (1965) 1034-1037	
Source	
