$$$Vapor-Liquid Equilibrium Data Set 21061
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C2H6O	46.069	64-17-5	Ethanol
3	C8H10	106.167	108-38-3	m-Xylene
Pressure	49.40	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
334.13	0.12290	0.85690	0.12270	0.85390
334.03	0.12950	0.82860	0.13550	0.82130
333.96	0.13120	0.80270	0.14430	0.79590
333.86	0.13630	0.77340	0.15540	0.77160
334.04	0.13780	0.74640	0.16680	0.75000
334.16	0.14960	0.70400	0.18680	0.72010
334.08	0.14680	0.67620	0.19590	0.70470
334.22	0.18110	0.80890	0.16940	0.81690
334.12	0.18610	0.78350	0.18030	0.77940
334.05	0.19000	0.75800	0.19240	0.75150
334.04	0.19170	0.73570	0.20550	0.72500
334.04	0.19790	0.70360	0.21500	0.70190
334.07	0.20620	0.66880	0.23100	0.67510
334.12	0.21050	0.63590	0.24610	0.65190
334.06	0.23150	0.75010	0.20600	0.76530
333.88	0.23460	0.72690	0.21410	0.73530
333.90	0.24180	0.69790	0.22970	0.70100
333.90	0.24630	0.674300.24170	0.67430
333.96	0.26910	0.62610	0.26670	0.63970
334.35	0.35600	0.62800	0.28810	0.67880
334.14	0.34860	0.61730	0.28680	0.65210
333.96	0.35900	0.58860	0.30330	0.61580
334.56	0.40790	0.57640	0.29960	0.65800
334.35	0.40660	0.56200	0.30390	0.62450
334.86	0.47510	0.51120	0.32380	0.62470
Source
Fele L.; Stemberger N.Z.; Grilc V.: Separation of Water + Ethanol + (o-, m-, p-) Xylene Systems. J.Chem.Eng.Data 45 (2000) 784-791
$$$Vapor-Liquid Equilibrium Data Set 21062
No.	Formula	Molar Mass	CAS Registry Number	Name
1	H2O	18.015	7732-18-5	Water
2	C2H6O	46.069	64-17-5	Ethanol
3	C8H10	106.167	108-38-3	m-Xylene
Pressure	90.40	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
348.39	0.12730	0.82900	0.13530	0.82370
348.41	0.13030	0.80370	0.14460	0.79960
348.44	0.13580	0.77200	0.15710	0.77510
348.53	0.13610	0.72560	0.16830	0.75170
348.59	0.14230	0.71300	0.18250	0.73030
348.69	0.14270	0.67520	0.19470	0.71100
348.52	0.18430	0.80570	0.17430	0.81300
348.44	0.18890	0.77770	0.20110	0.76610
348.42	0.19320	0.75560	0.19490	0.75360
348.42	0.19700	0.72780	0.20700	0.72690
348.47	0.19870	0.70520	0.21250	0.70970
348.52	0.20260	0.67060	0.23220	0.68070
348.59	0.20170	0.64820	0.24270	0.66410
348.42	0.22440	0.75720	0.20610	0.76850
348.39	0.23700	0.73110	0.22190	0.73100
348.34	0.23940	0.70010	0.22700	0.70810
348.35	0.24470	0.67260	0.24630	0.67590
348.39	0.25170	0.63960	0.28210	0.63070
348.70	0.35130	0.63240	0.29190	0.67810
348.57	0.34090	0.62440	0.28800	0.65680
348.47	0.35500	0.59220	0.30500	0.62120
348.99	0.40670	0.57790	0.30770	0.65440
348.78	0.41610	0.55170	0.32170	0.61710
349.27	0.46990	0.51620	0.33440	0.62210
Source
Fele L.; Stemberger N.Z.; Grilc V.: Separation of Water + Ethanol + (o-, m-, p-) Xylene Systems. J.Chem.Eng.Data 45 (2000) 784-791
Source
