$$$Vapor-Liquid Equilibrium Data Set 2536	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	H2O	18.015	7732-18-5	Water	
3	C2H4O2	60.053	64-19-7	Acetic acid	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
372.55	0.01200	0.70200	0.08100	0.74600	
374.55	0.02000	0.51400	0.09800	0.57300	
374.75	0.03900	0.35500	0.15000	0.43500	
365.45	0.02100	0.88700	0.25700	0.70200	
371.95	0.05300	0.47300	0.20500	0.50600	
365.15	0.05000	0.66100	0.26700	0.60800	
368.15	0.04900	0.70100	0.26700	0.61500	
367.05	0.11400	0.30300	0.37000	0.33000	
366.55	0.10300	0.44800	0.35300	0.42900	
356.95	0.10000	0.65600	0.47600	0.46800	
357.75	0.11000	0.61700	0.49700	0.44000	
363.15	0.16000	0.28100	0.48300	0.27700	
354.55	0.17700	0.43300	0.58000	0.33200	
360.35	0.18600	0.40100	0.52900	0.32400	
356.05	0.24900	0.25400	0.65500	0.19800	
348.35	0.18600	0.58700	0.65100	0.32000	
353.95	0.28900	0.22800	0.71300	0.16100	
349.45	0.29000	0.34400	0.71000	0.22400	
343.15	0.28700	0.50500	0.75000	0.23300	
343.95	0.24900	0.65400	0.75900	0.23500	
344.05	0.40800	0.25800	0.79900	0.15800	
343.85	0.40700	0.28800	0.80000	0.16400	
341.15	0.37000	0.43200	0.79000	0.19800	
342.95	0.51100	0.14100	0.87300	0.08800	
339.65	0.54300	0.12200	0.89500	0.07600	
338.15	0.53200	0.22000	0.87900	0.10700	
335.05	0.41800	0.50800	0.83100	0.16600	
333.85	0.68300	0.14300	0.92500	0.06800	
334.15	0.74800	0.21400	0.90200	0.09700	
331.75	0.87900	0.05000	0.96600	0.02900	
Source	
York R.; Holmes R.C.: Vapor-Liquid Equilibria of the System Acetone-Acetic Acid-Water. Ind.Eng.Chem. Ind.Ed. 34 (1942) 345-350	
Source	
