$$$Vapor-Liquid Equilibrium Data Set 9531	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C4H10O	74.123	71-36-3	1-Butanol	
4	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]	
353.76	0.10175	0.17201	0.05445	0.23341	0.35596	0.04027	
351.48	0.04271	0.65325	0.02279	0.06071	0.71710	0.00413	
350.91	0.21580	0.15039	0.04764	0.46206	0.21825	0.02317	
350.52	0.09753	0.61618	0.02146	0.13494	0.65233	0.00394	
345.09	0.41083	0.28249	0.02292	0.59974	0.24625	0.00408	
340.95	0.74198	0.02290	0.01764	0.90764	0.01337	0.00249	
342.24	0.62232	0.18220	0.01482	0.81143	0.10383	0.00214	
352.48	0.10927	0.38029	0.14486	0.19682	0.45580	0.03677	
348.85	0.04697	0.73367	0.06230	0.08169	0.75696	0.00660	
349.72	0.17630	0.48529	0.09619	0.27832	0.51078	0.01671	
343.05	0.64046	0.04635	0.08840	0.85309	0.02793	0.01101	
344.47	0.45791	0.31846	0.06304	0.66505	0.22609	0.00629	
340.45	0.77996	0.05864	0.04612	0.92077	0.02934	0.00493	
343.08	0.52571	0.36561	0.03107	0.66759	0.26511	0.00321	
352.87	0.21383	0.14871	0.39967	0.41995	0.18225	0.08233	
351.15	0.09354	0.62762	0.17505	0.16417	0.68648	0.02476	
347.19	0.39878	0.11341	0.30507	0.71535	0.10531	0.04379	
349.03	0.20165	0.55420	0.15439	0.31727	0.56435	0.01424	
342.85	0.67333	0.11846	0.13060	0.87068	0.07857	0.01389	
351.05	0.09141	0.63554	0.19686	0.15748	0.74383	0.01702	
346.69	0.37279	0.25926	0.31450	0.70456	0.21946	0.02667	
360.85	0.06319	0.04395	0.40084	0.16845	0.11064	0.13270	
360.28	0.04920	0.07213	0.25070	0.14723	0.16321	0.12472	
Source	
Karaseva A.P.; Frolov A.F.; Loginova M.A.: Flüssigkeits-Dampf-Gleichgewicht im System Methanol-Äthanol-n-Butanol-Wasser. Izv.Vyssh.Uchebn.Zaved.Khim.Khim.Tekhnol. 12 (1969) 1661-1665	
Source	
