$$$Vapor-Liquid Equilibrium Data Set 18034
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CH4O	32.042	67-56-1	Methanol
3	C6H6	78.114	71-43-2	Benzene
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
353.24	0.000000.000000.000000.00000
337.70	0.00000	1.000000.00000	1.00000
329.26	1.00000	0.000001.00000	0.00000
331.14	0.02300	0.51100	0.02300	0.58400
333.60	0.02400	0.90400	0.04100	0.78400
332.27	0.06000	0.83100	0.09100	0.70300
335.04	0.06600	0.10300	0.09100	0.41900
333.28	0.06600	0.87600	0.11300	0.75500
330.87	0.09400	0.62300	0.10800	0.58500
332.54	0.11800	0.21000	0.13200	0.45600
330.73	0.13600	0.53300	0.14800	0.54300
333.95	0.14600	0.13300	0.18200	0.38700
331.20	0.14900	0.72700	0.19900	0.61600
330.65	0.15400	0.58400	0.17400	0.55300
330.60	0.17500	0.50800	0.19100	0.52100
330.71	0.19100	0.43400	0.20300	0.49400
330.45	0.20100	0.54600	0.22500	0.52400
331.65	0.20900	0.25700	0.22500	0.42700
331.36	0.21400	0.73500	0.30400	0.61200
330.72	0.21800	0.66800	0.27800	0.56900
332.96	0.21900	0.16400	0.25500	0.36800
330.35	0.22900	0.56900	0.26400	0.52200
333.23	0.25000	0.14200	0.29600	0.33300
330.34	0.25400	0.45900	0.27200	0.47700
334.78	0.27400	0.08500	0.35700	0.24900
330.18	0.27400	0.55500	0.31400	0.50300
330.34	0.27500	0.61900	0.33700	0.53200
330.13	0.29700	0.45700	0.32100	0.46100
330.67	0.31000	0.31600	0.32300	0.40700
331.71	0.32000	0.20400	0.34800	0.34500
330.04	0.32300	0.57800	0.38600	0.49900
329.98	0.32700	0.46800	0.35500	0.45600
329.82	0.35000	0.49900	0.38900	0.46000
334.41	0.35100	0.07700	0.44400	0.20100
329.92	0.36100	0.41500	0.38300	0.42500
330.05	0.37200	0.37800	0.39100	0.40500
329.97	0.39800	0.35200	0.41600	0.38800
329.64	0.40000	0.51300	0.45500	0.45200
330.89	0.40500	0.22400	0.42800	0.32800
329.61	0.41300	0.43400	0.44200	0.41700
333.93	0.42600	0.06700	0.52300	0.16000
329.61	0.43900	0.38000	0.46100	0.38700
330.81	0.44700	0.20700	0.47200	0.30100
334.48	0.46700	0.04100	0.59100	0.10000
329.35	0.47800	0.39500	0.50600	0.38200
330.72	0.48900	0.19200	0.51400	0.27600
329.47	0.49200	0.34200	0.51100	0.35500
334.16	0.49800	0.03800	0.62000	0.08900
329.79	0.50400	0.27500	0.51800	0.31900
329.18	0.50800	0.42000	0.54800	0.38400
331.07	0.52300	0.14800	0.55900	0.22800
331.73	0.53200	0.10800	0.58600	0.18600
329.69	0.53700	0.26100	0.55000	0.30200
333.66	0.55300	0.03300	0.66900	0.07000
329.66	0.56200	0.24500	0.57300	0.28700
330.50	0.57900	0.15600	0.60500	0.21900
328.98	0.58700	0.33100	0.60700	0.32400
328.82	0.61000	0.35100	0.63700	0.32800
328.96	0.61700	0.29700	0.63100	0.30000
330.40	0.62100	0.14000	0.64600	0.19600
328.96	0.64600	0.26300	0.65600	0.27400
330.31	0.65800	0.12500	0.68100	0.17600
328.66	0.66900	0.29200	0.68200	0.28600
329.01	0.68200	0.22200	0.68600	0.24300
330.20	0.70700	0.10500	0.73000	0.14700
328.60	0.72800	0.24000	0.73100	0.24400
328.60	0.75000	0.22000	0.74900	0.22800
329.47	0.76500	0.12200	0.77000	0.15300
329.21	0.81600	0.11000	0.81700	0.13200
329.24	0.84400	0.09200	0.84400	0.11200
Source
Kurihara K.; Hori H.; Kojima K.: Vapor-Liquid Equilibrium Data for Acetone + Methanol + Benzene, Chloroform + Methanol + Benzene, and Constituent Binary Systems at 101.3 kPa. J.Chem.Eng.Data 43 (1998) 264-268
Source
