$$$Vapor-Liquid Equilibrium Data Set 9980
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	CH4O	32.042	67-56-1	Methanol
3	C6H14	86.177	110-54-3	Hexane
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
319.55	0.19500	0.16700	0.29600	0.34600
316.15	0.41500	0.12100	0.56700	0.19900
313.25	0.59900	0.08600	0.73200	0.13200
310.45	0.78700	0.05500	0.87300	0.06100
318.85	0.20300	0.31500	0.39000	0.30200
315.55	0.49000	0.07000	0.58300	0.18800
312.25	0.60200	0.15800	0.74700	0.13400
309.75	0.80300	0.07700	0.87500	0.07400
317.75	0.20100	0.48400	0.45400	0.25400
314.45	0.34600	0.54000	0.62600	0.20900
311.95	0.54700	0.32900	0.77700	0.14700
309.25	0.80300	0.11800	0.90100	0.07400
317.65	0.20000	0.64100	0.51400	0.25500
313.55	0.39900	0.48100	0.72300	0.13800
310.75	0.60000	0.31900	0.82600	0.12900
308.75	0.79300	0.16400	0.88800	0.09500
307.75	1.00000	0.000001.00000	0.00000
337.65	0.00000	1.000000.00000	1.00000
341.85	0.000000.000000.000000.00000
Source
Goloborodkina R.V.; Beregovykh V.V.; Goloborodkin S.I.; Timofeev V.S.; Lvov S.V.: Dampf-Flüssig-Gleichgewicht in ternären Lösungsmittel-Systemen. Khim.-Farm.Zh. 16 (1982) 341-345
Source
