$$$Vapor-Liquid Equilibrium Data Set 17033
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C3H6O	58.080	67-64-1	Acetone
3	C2H3N	41.053	75-05-8	Acetonitrile
4	C6H6	78.114	71-43-2	Benzene
Temperature	328.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
87.779	0.36600	0.16300	0.15000	0.44700	0.17100	0.09900
87.166	0.26700	0.09500	0.08700	0.46200	0.09100	0.06500
89.193	0.38000	0.05500	0.07100	0.51000	0.05700	0.05300
89.139	0.38300	0.10600	0.07200	0.49100	0.10800	0.05400
88.299	0.27700	0.16500	0.07400	0.43500	0.17000	0.05000
86.300	0.27400	0.11100	0.15800	0.43300	0.10900	0.11600
89.857	0.46400	0.10600	0.06900	0.51700	0.11200	0.04900
86.140	0.25900	0.19800	0.14300	0.39600	0.20100	0.10000
85.153	0.19000	0.11600	0.06200	0.42300	0.12800	0.05000
91.219	0.47000	0.15500	0.06700	0.49500	0.16300	0.05000
81.607	0.20100	0.11700	0.25000	0.36700	0.12100	0.17000
91.859	0.46100	0.17100	0.02800	0.49600	0.17900	0.02900
89.699	0.62400	0.04400	0.06400	0.58400	0.05000	0.05100
90.566	0.60500	0.09600	0.06600	0.57000	0.11100	0.04900
88.673	0.30700	0.30300	0.15200	0.37400	0.32200	0.09400
88.273	0.53400	0.04600	0.14100	0.55000	0.04900	0.10000
80.353	0.16800	0.22600	0.26500	0.29900	0.25200	0.17100
89.913	0.55000	0.04600	0.06900	0.55800	0.05000	0.05600
89.433	0.37800	0.16400	0.08800	0.46300	0.17100	0.06100
88.393	0.46500	0.14300	0.14300	0.49200	0.15500	0.09900
Source
Nagata I.; Tamura K.: Vapor-Liquid Equilibria for Methanol + Acetone + Acetonitrile + Benzene at 328.15 K. J.Chem.Eng.Data 41 (1996) 1135-1137
Source
