$$$Vapor-Liquid Equilibrium Data Set 18506	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	318.15	K	
x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
0.65943	0.22830	0.73614	0.25632	
0.59770	0.18517	0.68985	0.23727	
0.55357	0.15340	0.63439	0.20942	
0.42694	0.08898	0.61441	0.14208	
0.11510	0.03755	0.43319	0.08896	
0.58689	0.37915	0.66620	0.31175	
0.53322	0.42643	0.63825	0.33174	
0.47571	0.45661	0.62707	0.33729	
0.33732	0.59160	0.56294	0.38040	
0.17226	0.76531	0.36916	0.53354	
0.04004	0.95720	0.14310	0.83562	
0.83110	0.14725	0.81904	0.17575	
0.85288	0.11859	0.83062	0.15902	
0.86538	0.07653	0.83928	0.13710	
0.88684	0.031584	0.89575	0.07130	
0.87649	0.01886	0.91409	0.04154	
0.67116	0.002096	0.84831	0.01115	
0.67076	0.27061	0.70011	0.29114	
0.63434	0.25126	0.68524	0.27133	
0.59656	0.23888	0.67114	0.25860	
0.52150	0.22436	0.66410	0.27498	
0.28551	0.11703	0.44759	0.21408	
0.22059	0.06847	0.30577	0.14517	
0.52382	0.36230	0.65166	0.33610	
0.43441	0.37271	0.58563	0.33958	
0.38437	0.38932	0.53441	0.33927	
0.27641	0.43898	0.55091	0.38994	
0.16494	0.44360	0.31461	0.47210	
0.08397	0.40481	0.20121	0.57377	
0.014624	0.21893	0.09288	0.58128	
Source	
Vitman T.A.; Zharov V.T.: Dampf-Flüssig-Gleichgewicht im System Aceton-Benzol-Cyclohexan-Isopropanol. Vestn.Leningr.Univ.Fiz.Khim.  (1970) 107-110	
Source	
