$$$Vapor-Liquid Equilibrium Data Set 7057
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
Temperature	323.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]
41.361	0.33260	0.66740
41.326	0.32730	0.65700
41.033	0.31530	0.63270
40.639	0.30020	0.60250
40.194	0.28380	0.56950
39.521	0.26390	0.52970
39.071	0.25070	0.50310
38.477	0.23410	0.46990
37.828	0.21720	0.43580
42.089	0.66940	0.33060
42.061	0.65460	0.32330
41.949	0.63100	0.31160
41.749	0.60100	0.29690
41.434	0.56870	0.28090
40.999	0.52910	0.26130
40.641	0.50230	0.24810
40.177	0.46960	0.23190
39.579	0.42950	0.21210
38.460	0.65430	0.02340
38.987	0.63140	0.05760
39.526	0.60360	0.09910
40.025	0.57040	0.14870
40.451	0.53050	0.20820
40.635	0.50400	0.24780
40.785	0.47050	0.29770
40.833	0.43780	0.34650
37.116	0.32960	0.02080
37.286	0.31770	0.05610
37.416	0.30220	0.10220
37.493	0.28420	0.15590
37.484	0.26460	0.21400
37.448	0.25110	0.25440
37.269	0.23410	0.30480
37.250	0.21740	0.35440
28.164	0.02110	0.33600
30.845	0.05750	0.32350
33.391	0.10560	0.30700
35.218	0.15600	0.28970
36.894	0.21860	0.26830
37.637	0.25960	0.25420
38.370	0.31030	0.23680
38.930	0.36140	0.21930
30.230	0.02030	0.65610
32.436	0.05650	0.63180
34.684	0.10280	0.60080
36.676	0.15370	0.56670
38.160	0.21370	0.52660
39.007	0.25410	0.49950
39.995	0.31610	0.45800
40.359	0.35140	0.43440
Source
Wilson S.R.; Patel R.B.; Abbott M.M.; van Ness H.C.: Excess Thermodynamic Functions for Ternary Systems. J.Chem.Eng.Data 24 (1979) 130-132
Source
