$$$Vapor-Liquid Equilibrium Data Set 3829
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C6H6	78.114	71-43-2	Benzene
3	C3H8O	60.096	67-63-0	2-Propanol
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
344.65	0.01200	0.37850	0.02850	0.47500
346.40	0.01340	0.20670	0.06340	0.36670
344.20	0.01650	0.37340	0.05200	0.46340
346.20	0.02340	0.19330	0.09000	0.33340
344.45	0.02340	0.38850	0.04000	0.46850
345.85	0.03000	0.19500	0.09700	0.32340
344.00	0.03000	0.37160	0.08000	0.45500
345.05	0.03160	0.18670	0.14000	0.32000
345.15	0.03160	0.19000	0.14000	0.33340
345.40	0.03340	0.19330	0.12670	0.33000
345.05	0.03670	0.19500	0.14000	0.32000
345.15	0.03670	0.19660	0.13000	0.32500
343.55	0.03670	0.36170	0.10840	0.44500
344.40	0.04670	0.20000	0.16340	0.32670
343.25	0.05340	0.35500	0.13340	0.43200
344.00	0.05670	0.21600	0.17000	0.32340
343.85	0.06000	0.22000	0.16670	0.31850
343.70	0.06170	0.22170	0.17000	0.32000
343.35	0.06340	0.22340	0.19110	0.32670
343.80	0.06380	0.21000	0.21000	0.28900
343.35	0.07000	0.21670	0.20340	0.31670
342.75	0.07000	0.34000	0.16670	0.40680
343.00	0.07200	0.23000	0.20000	0.32670
342.70	0.07500	0.24000	0.20500	0.32750
343.00	0.08000	0.15670	0.26000	0.24670
342.45	0.08300	0.24500	0.21340	0.33000
342.60	0.08670	0.13660	0.29000	0.21340
341.85	0.09000	0.32340	0.20340	0.37850
342.50	0.09670	0.11500	0.31340	0.19000
342.00	0.09670	0.24170	0.24500	0.32000
341.55	0.10180	0.30680	0.23650	0.36500
340.90	0.12000	0.28160	0.27670	0.33000
339.95	0.15160	0.26340	0.32340	0.29000
339.25	0.18500	0.23000	0.36680	0.25170
339.30	0.18500	0.24680	0.36000	0.26200
338.85	0.21200	0.25600	0.38500	0.26340
338.60	0.22800	0.27150	0.38680	0.27000
338.30	0.25680	0.29340	0.39680	0.26670
338.15	0.27000	0.31840	0.40160	0.28000
337.80	0.30000	0.31170	0.41070	0.27000
337.65	0.32200	0.30340	0.44170	0.26670
338.00	0.34000	0.29000	0.44670	0.24850
337.00	0.37670	0.37000	0.48500	0.23000
336.75	0.41500	0.24850	0.50850	0.21340
336.45	0.46000	0.23670	0.53000	0.19150
336.15	0.51100	0.20330	0.56170	0.17000
336.00	0.55670	0.17340	0.59000	0.11160
335.80	0.61670	0.14680	0.61670	0.12000
335.65	0.65000	0.11670	0.65330	0.10000
335.65	0.69000	0.09680	0.67680	0.08670
335.50	0.73340	0.07850	0.68680	0.06000
335.60	0.74000	0.07340	0.69680	0.07000
335.65	0.77500	0.07000	0.71160	0.05850
335.45	0.77850	0.06000	0.71000	0.05340
335.85	0.80850	0.04160	0.73000	0.05330
336.35	0.88250	0.03000	0.79000	0.02670
Source
Govindaswamy S.; Andiappan A.; Lakshmanan S.: Isobaric Vapour-Liquid Equilibrium Data for the Ternary and Sub-Binary Systems Containing n-Hexane(1)-Benzene(2)- Isopropanol(3). J.Chem.Eng.Japan 9 (1976) 345-349
Source
