$$$Vapor-Liquid Equilibrium Data Set 2527
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C4H8O2	88.106	141-78-6	Ethyl acetate
3	H2O	18.015	7732-18-5	Water
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
346.85	0.02100	0.94200	0.05700	0.85000
345.05	0.05800	0.90100	0.14600	0.77700
345.55	0.06100	0.91100	0.17100	0.77800
342.65	0.06400	0.87400	0.15200	0.70900
343.35	0.06700	0.83800	0.14600	0.69000
342.75	0.06700	0.84300	0.09900	0.69400
343.75	0.08200	0.86700	0.18800	0.71600
340.95	0.11500	0.68900	0.19400	0.60400
341.35	0.11900	0.70600	0.20400	0.59000
340.85	0.12000	0.73400	0.22800	0.61800
340.85	0.12100	0.74300	0.21900	0.61700
342.55	0.12200	0.83300	0.26000	0.68100
341.05	0.13100	0.55400	0.18300	0.57200
353.15	0.13900	0.00500	0.43100	0.17200
355.15	0.15800	0.01400	0.52600	0.04700
340.05	0.19600	0.72600	0.30200	0.59600
340.25	0.20400	0.52800	0.29000	0.52200
340.65	0.21600	0.37600	0.26900	0.51900
339.95	0.21900	0.56200	0.28900	0.52000
340.55	0.22000	0.38700	0.23500	0.54700
349.15	0.24800	0.01100	0.53600	0.15500
340.55	0.25400	0.29700	0.30100	0.48100
339.95	0.26000	0.43000	0.31200	0.49000
347.55	0.26200	0.00400	0.61400	0.06200
339.95	0.28700	0.35700	0.33300	0.46100
341.25	0.28900	0.13800	0.35600	0.41900
342.55	0.29400	0.06500	0.41300	0.34900
339.55	0.29700	0.42200	0.35000	0.46800
339.35	0.30400	0.46300	0.37900	0.48200
338.45	0.30600	0.63200	0.42900	0.51400
339.95	0.31300	0.32500	0.36100	0.44100
340.45	0.32400	0.21800	0.37400	0.42100
340.65	0.32800	0.18000	0.38300	0.41100
340.05	0.32900	0.28800	0.37100	0.42900
338.05	0.32900	0.59300	0.44500	0.48100
346.25	0.33000	0.01900	0.57200	0.17300
347.75	0.35700	0.00900	0.65400	0.08000
340.85	0.36800	0.13700	0.43400	0.35700
338.45	0.37800	0.44400	0.45700	0.43500
340.15	0.38100	0.20800	0.42700	0.38200
342.65	0.38500	0.05900	0.52200	0.26400
341.75	0.38800	0.08700	0.48800	0.30900
339.25	0.40500	0.27500	0.44500	0.39400
344.25	0.41900	0.03100	0.61300	0.17500
340.55	0.42500	0.13800	0.48600	0.32900
339.35	0.43800	0.22100	0.48000	0.36100
341.85	0.47100	0.06800	0.58000	0.23700
344.95	0.48700	0.01500	0.71400	0.08300
338.35	0.51400	0.25600	0.54400	0.33900
342.25	0.52400	0.05000	0.65400	0.17900
340.55	0.52800	0.09700	0.59400	0.25000
340.85	0.53300	0.08000	0.62200	0.22200
336.85	0.54700	0.36700	0.59500	0.35700
340.25	0.55200	0.10600	0.60500	0.24500
343.25	0.57000	0.02100	0.73500	0.08400
340.95	0.58900	0.06300	0.68000	0.17300
336.95	0.60800	0.28400	0.62100	0.31600
339.05	0.62600	0.12600	0.65900	0.23800
336.35	0.63900	0.28800	0.65600	0.30400
339.55	0.66600	0.08300	0.72000	0.18400
341.25	0.67000	0.02800	0.79700	0.08200
337.05	0.69700	0.17800	0.68100	0.26100
336.45	0.70700	0.21100	0.70800	0.25800
336.85	0.78300	0.13600	0.76900	0.19600
338.65	0.83000	0.04700	0.85800	0.08800
Source
Akita K.; Yoshida F.: Phase-Equilibria in Methanol-Ethyl Acetate-Water System. J.Chem.Eng.Data 8 (1963) 484-490
$$$Vapor-Liquid Equilibrium Data Set 3552
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C4H8O2	88.106	141-78-6	Ethyl acetate
3	H2O	18.015	7732-18-5	Water
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
335.85	0.71500	0.24100	0.69600	0.26600
343.10	0.75000	0.18200	0.73900	0.22300
336.20	0.58600	0.34100	0.62100	0.32800
336.55	0.64500	0.25600	0.64700	0.28900
336.55	0.55500	0.36700	0.59700	0.34200
336.90	0.43500	0.52300	0.54600	0.40500
337.10	0.78500	0.11200	0.78100	0.14200
337.15	0.46500	0.45000	0.53700	0.38200
337.25	0.50800	0.37300	0.55900	0.35500
337.50	0.52000	0.32800	0.55700	0.34300
337.60	0.68000	0.16300	0.68700	0.21600
337.65	0.35000	0.59900	0.47800	0.44800
337.90	0.36900	0.48600	0.45400	0.43000
338.00	0.84500	0.04600	0.86700	0.06300
338.20	0.40300	0.40300	0.45600	0.40000
338.25	0.55300	0.22500	0.58100	0.30800
338.30	0.30000	0.62600	0.43800	0.47300
338.50	0.23000	0.15300	0.49700	0.17200
338.70	0.48800	0.23600	0.52700	0.33100
338.85	0.60500	0.15100	0.63700	0.23100
338.95	0.26900	0.61000	0.38700	0.48600
339.00	0.63100	0.12900	0.66300	0.20000
339.00	0.69600	0.09300	0.73300	0.10000
339.05	0.33700	0.40700	0.38500	0.43600
339.15	0.23600	0.70900	0.40100	0.51700
339.55	0.39000	0.26000	0.43400	0.38000
339.55	0.27100	0.46100	0.33300	0.47200
339.60	0.71800	0.06000	0.77700	0.08200
339.80	0.31600	0.32500	0.36000	0.43800
339.95	0.43700	0.18100	0.49900	0.32300
340.05	0.33100	0.26600	0.37900	0.41500
340.05	0.63100	0.07300	0.70900	0.11200
340.05	0.38700	0.20800	0.44300	0.36200
340.40	0.50600	0.10400	0.60100	0.20600
340.45	0.44500	0.12600	0.53800	0.27700
340.70	0.75000	0.02200	0.84700	0.03000
340.75	0.53600	0.07800	0.64700	0.15400
340.75	0.27000	0.23400	0.32900	0.45800
340.80	0.12500	0.70300	0.20000	0.57400
341.00	0.65000	0.04100	0.76300	0.05700
341.15	0.50500	0.06400	0.63000	0.15400
341.65	0.25200	0.15200	0.35000	0.44600
342.35	0.67600	0.01300	0.82200	0.01600
343.15	0.55500	0.03600	0.72300	0.06900
345.20	0.39200	0.04000	0.58200	0.16800
346.25	0.33000	0.03500	0.54300	0.17700
346.40	0.32100	0.04000	0.53000	0.16900
346.40	0.26800	0.05600	0.45700	0.31300
347.20	0.22800	0.04700	0.43300	0.32500
342.25	0.36100	0.08700	0.49500	0.28200
Source
van Zandijcke F.; Verhoeye L.: The Vapor-Liquid Equilibrium of Ternary Systems with Limited Miscibility at Atmospheric Pressure. J.Appl.Chem.Biotechnol. 24 (1974) 709-729
Source
