$$$Vapor-Liquid Equilibrium Data Set 11131
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O2	62.068	107-21-1	1,2-Ethanediol
2	C3H6O	58.080	67-64-1	Acetone
3	H2O	18.015	7732-18-5	Water
Temperature	323.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]
19.002	0.29390	0.01940
31.688	0.28490	0.04970
45.022	0.27010	0.09890
53.113	0.25530	0.14830
58.269	0.24030	0.19830
61.694	0.22530	0.24830
64.088	0.21030	0.29840
65.872	0.19530	0.34840
67.296	0.18020	0.39860
68.458	0.16520	0.44870
69.512	0.15020	0.49880
12.355	0.68440	0.02050
23.113	0.66380	0.05000
36.441	0.62920	0.09950
45.598	0.59510	0.14830
52.070	0.56030	0.19800
56.629	0.52540	0.24810
59.892	0.49050	0.29790
62.291	0.45590	0.34760
64.147	0.42060	0.39800
65.616	0.38580	0.44780
66.861	0.35070	0.49810
74.214	0.02120	0.68470
73.393	0.04990	0.66460
72.065	0.09980	0.62960
71.490	0.12430	0.61250
70.922	0.14730	0.59640
69.622	0.20360	0.55700
68.342	0.25970	0.51780
67.066	0.31550	0.47870
65.692	0.37060	0.44020
64.147	0.42550	0.40180
62.391	0.47980	0.36380
61.618	0.50040	0.34940
65.781	0.02000	0.29390
65.213	0.05060	0.28460
64.152	0.10010	0.26980
62.939	0.15020	0.25480
61.503	0.20060	0.23970
59.903	0.25030	0.22480
58.039	0.30030	0.20980
55.949	0.35040	0.19480
53.592	0.40020	0.17990
50.936	0.45030	0.16490
47.981	0.50030	0.15000
69.372	0.29410	0.68490
69.412	0.28540	0.66450
69.425	0.27030	0.62920
69.322	0.25510	0.59380
69.166	0.24020	0.55910
68.598	0.21010	0.48920
68.281	0.19510	0.45400
67.726	0.18010	0.41910
67.074	0.16420	0.38210
66.371	0.15000	0.34910
56.049	0.68630	0.29290
55.990	0.66590	0.28410
55.850	0.63070	0.26900
55.639	0.59570	0.25410
55.323	0.56100	0.23920
54.915	0.52520	0.22400
54.436	0.49020	0.20900
53.844	0.45540	0.19420
53.142	0.42030	0.17920
52.185	0.38530	0.16430
51.186	0.35020	0.14930
56.055	0.68760	0.29280
55.995	0.66640	0.28370
55.850	0.63130	0.26880
55.622	0.59590	0.25370
55.315	0.56080	0.23870
54.917	0.52580	0.22370
Source
Villamanan M.A.; Allawi A.J.; van Ness H.C.: 11. Total Pressure Data and GE for Ethylene Glycol/Acetone/Water and for Ethylene Glycol/Acetonitrile/Water at 50 °C. J.Chem.Eng.Data 29 (1984) 293-296
Source
