$$$Vapor-Liquid Equilibrium Data Set 11589
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C10H8	128.174	91-20-3	Naphthalene
Temperature	298.15	K
x1 [mol/mol]	y1 [mol/mol]
0.90580	0.99931
0.92150	0.99936
0.93490	0.99941
0.95950	0.99950
0.96420	0.99969
0.96800	0.99973
0.97490	0.99983
0.98750	0.99991
Source
Li I.F.; Semenov L.V.; Gaile A.A.; Pultsin N.M.: Thermodynamic Functions of Mixing in Aromatic Hydrocarbon - Acetonitrile Systems. Russ.J.Phys.Chem. 58 (1984) 1481-1483
Source
Li I.F.; Semenov L.V.; Gaile A.A.; Pultsin N.M.: Thermodynamic Functions of Mixing in Aromatic Hydrocarbon - Acetonitrile Systems. Russ.J.Phys.Chem. 58 (1984) 1481-1483
