$$$Vapor-Liquid Equilibrium Data Set 1783
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O2	62.068	107-21-1	1,2-Ethanediol
2	C10H8	128.174	91-20-3	Naphthalene
Pressure	99.99	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
491.15	0.000000.00000
486.65	0.03000	0.21400
482.75	0.06200	0.31500
473.75	0.15200	0.45000
470.55	0.18000	0.49800
463.45	0.26500	0.57000
456.65	0.47500	0.65000
456.65	0.54500	0.65000
456.65	0.70500	0.65000
456.65	0.79000	0.65000
457.05	0.84800	0.65200
459.95	0.90500	0.71200
464.75	0.96300	0.82500
467.45	0.97900	0.90000
470.55	1.000001.00000
Source
Brusset H.; Kaiser L.; Hocquel J.: Etude de Quelques Systemes Binaires du Glycol. Chim.Ind.Genie Chim. 99 (1968) 207-219
Source
Brusset H.; Kaiser L.; Hocquel J.: Etude de Quelques Systemes Binaires du Glycol. Chim.Ind.Genie Chim. 99 (1968) 207-219
