$$$Vapor-Liquid Equilibrium Data Set 2578
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	CH4O	32.042	67-56-1	Methanol
3	C6H6	78.114	71-43-2	Benzene
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
334.65	0.10000	0.10000	0.11000	0.42000
332.15	0.10000	0.20000	0.09000	0.49000
331.65	0.10000	0.30000	0.10500	0.50500
331.25	0.10000	0.40000	0.11500	0.49500
331.15	0.10000	0.50000	0.11000	0.56000
330.15	0.10000	0.60000	0.12000	0.57000
330.65	0.10000	0.70000	0.18000	0.59000
331.15	0.10000	0.80000	0.19000	0.64500
333.95	0.20000	0.10000	0.18000	0.39500
331.35	0.20000	0.20000	0.18000	0.47500
331.15	0.20000	0.30000	0.19000	0.50400
330.95	0.20000	0.40000	0.19000	0.51000
330.15	0.20000	0.50000	0.15000	0.55500
329.15	0.20000	0.60000	0.28000	0.52000
329.45	0.20000	0.70000	0.33000	0.55000
334.15	0.30000	0.10000	0.29000	0.38500
331.35	0.30000	0.20000	0.27000	0.45000
331.45	0.30000	0.30000	0.28000	0.47000
331.15	0.30000	0.40000	0.28000	0.48000
329.15	0.30000	0.50000	0.35500	0.47500
328.65	0.30000	0.60000	0.42500	0.49500
333.15	0.40000	0.10000	0.37500	0.36500
332.15	0.40000	0.20000	0.38500	0.38000
331.15	0.40000	0.30000	0.36000	0.42000
329.15	0.40000	0.40000	0.34500	0.46500
328.65	0.40000	0.50000	0.48000	0.44000
332.65	0.50000	0.10000	0.47200	0.34000
331.15	0.50000	0.20000	0.45500	0.39000
330.65	0.50000	0.30000	0.47000	0.39000
328.65	0.50000	0.40000	0.53000	0.39500
331.55	0.60000	0.10000	0.56000	0.30500
328.55	0.60000	0.30000	0.56000	0.36000
331.35	0.70000	0.10000	0.64000	0.26000
330.15	0.70000	0.20000	0.64000	0.28500
330.65	0.80000	0.10000	0.72500	0.20000
Source
Shishkin K.N.; Kotsyuba A.A.: . Tr.Dnepropetr.Khim.Tekhnol.Inst. 4 (1955) 11
$$$Vapor-Liquid Equilibrium Data Set 6481
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	CH4O	32.042	67-56-1	Methanol
3	C6H6	78.114	71-43-2	Benzene
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
327.52	0.52800	0.40100	0.38000	0.58800
327.90	0.62500	0.28100	0.57700	0.37700
328.00	0.45400	0.45100	0.49100	0.44100
328.25	0.52600	0.41100	0.42100	0.54300
328.31	0.33900	0.55600	0.33100	0.61400
328.39	0.54200	0.37700	0.43700	0.53000
328.44	0.45500	0.46400	0.37700	0.57900
328.47	0.29000	0.60300	0.29800	0.63300
328.50	0.57900	0.34200	0.45600	0.51300
328.51	0.43900	0.45600	0.37500	0.57600
328.62	0.26900	0.62200	0.28800	0.64100
328.65	0.32000	0.64400	0.35300	0.62500
328.80	0.29800	0.59100	0.29900	0.63600
328.90	0.22100	0.66300	0.25000	0.66700
328.92	0.64600	0.28600	0.50000	0.47500
329.04	0.42500	0.43300	0.35000	0.58000
329.21	0.58800	0.17700	0.52800	0.35000
329.35	0.57000	0.21000	0.51600	0.36600
329.41	0.43600	0.30700	0.41500	0.43100
329.52	0.71800	0.21900	0.55200	0.42600
329.60	0.28100	0.62000	0.38200	0.51000
329.62	0.34300	0.58600	0.34100	0.57700
329.65	0.47700	0.34300	0.37700	0.54700
329.70	0.25500	0.53100	0.29700	0.51100
329.70	0.36300	0.36100	0.36300	0.45100
329.95	0.29100	0.42800	0.30200	0.49000
329.97	0.22600	0.52500	0.20400	0.61300
330.05	0.61900	0.22400	0.46500	0.45300
330.10	0.21100	0.56500	0.25400	0.53300
330.15	0.23400	0.55300	0.27600	0.52900
330.30	0.24500	0.50600	0.18600	0.65900
330.31	0.14400	0.58800	0.13900	0.68500
330.32	0.20000	0.47800	0.17400	0.64500
330.50	0.16600	0.63600	0.21100	0.57100
330.55	0.16500	0.50900	0.17600	0.54300
330.62	0.16000	0.52900	0.17600	0.54500
330.65	0.52500	0.14800	0.47200	0.34400
330.65	0.11900	0.64700	0.15200	0.58400
330.70	0.12400	0.62600	0.15200	0.57900
330.72	0.20000	0.37300	0.18600	0.51500
330.75	0.11700	0.56100	0.13000	0.56800
330.80	0.22000	0.34100	0.20300	0.50200
330.80	0.15100	0.43400	0.14800	0.53100
330.82	0.11300	0.56600	0.12500	0.56800
330.88	0.78400	0.14000	0.62900	0.34400
330.92	0.10200	0.47100	0.10100	0.55700
331.00	0.10900	0.53900	0.11700	0.56100
331.03	0.17700	0.70800	0.26100	0.57600
331.05	0.33600	0.27300	0.22700	0.59200
331.15	0.08600	0.74400	0.12600	0.63000
331.16	0.00600	0.59500	0.00700	0.61000
331.16	0.23600	0.32200	0.16900	0.61100
331.18	0.02100	0.73100	0.03900	0.61100
331.18	0.03300	0.68500	0.04100	0.62700
331.20	0.02300	0.57600	0.02400	0.60300
331.20	0.01000	0.59200	0.01100	0.60800
331.20	0.01900	0.58300	0.02100	0.60200
331.20	0.03200	0.63200	0.03700	0.61000
331.22	0.01600	0.58400	0.01700	0.60500
331.23	0.01700	0.65400	0.01900	0.62200
331.24	0.01100	0.65300	0.01200	0.62300
331.25	0.27700	0.31300	0.21500	0.61500
331.25	0.01700	0.69100	0.02100	0.53300
331.25	0.13500	0.33800	0.11900	0.52600
331.25	0.19300	0.27900	0.16700	0.50200
331.26	0.00700	0.68200	0.00800	0.62700
331.27	0.08600	0.42300	0.08000	0.54000
331.30	0.05300	0.72000	0.06100	0.63700
331.31	0.03400	0.71100	0.04300	0.63600
331.34	0.09000	0.30800	0.06800	0.54600
331.37	0.02300	0.74400	0.03000	0.65300
331.37	0.02800	0.74000	0.03800	0.65200
331.37	0.04200	0.40000	0.03700	0.56800
331.43	0.03600	0.45500	0.05000	0.54200
331.45	0.01200	0.75100	0.01500	0.66100
331.47	0.02700	0.73000	0.03500	0.64900
331.48	0.00700	0.75800	0.00800	0.66000
331.49	0.05400	0.37600	0.04600	0.55700
331.50	0.06800	0.33400	0.05900	0.52000
331.51	0.08000	0.33400	0.06800	0.53900
331.53	0.11300	0.83700	0.18900	0.74900
331.56	0.05900	0.49500	0.05300	0.59100
331.57	0.08600	0.34800	0.07500	0.53500
331.63	0.17300	0.27400	0.14800	0.50400
331.65	0.04700	0.35900	0.04000	0.54100
331.75	0.04900	0.35600	0.04200	0.51000
331.76	0.02600	0.80500	0.04000	0.68100
331.77	0.11200	0.34400	0.09900	0.52900
331.82	0.09200	0.82400	0.16300	0.68100
331.83	0.54600	0.21300	0.42900	0.43400
331.85	0.07000	0.27500	0.05600	0.53900
331.90	0.03300	0.33200	0.02800	0.55500
331.98	0.22300	0.27500	0.18000	0.56900
332.00	0.02900	0.69900	0.03500	0.63500
332.00	0.06600	0.43600	0.06000	0.56600
332.05	0.06000	0.25200	0.04900	0.52500
332.09	0.10600	0.30000	0.09200	0.52200
332.11	0.05300	0.26000	0.03500	0.52200
332.11	0.12000	0.22900	0.09800	0.51100
332.05	0.04400	0.31300	0.03700	0.53200
332.15	0.09600	0.33300	0.09300	0.39900
332.15	0.28000	0.16200	0.24200	0.43700
332.18	0.62500	0.17900	0.51500	0.40200
332.20	0.84000	0.09800	0.72300	0.25500
332.25	0.09000	0.35700	0.07900	0.53600
332.30	0.15800	0.21700	0.13000	0.49700
332.35	0.07600	0.85700	0.14200	0.71800
332.45	0.06400	0.33100	0.05400	0.54600
332.53	0.11000	0.20200	0.08900	0.49600
332.60	0.10000	0.26300	0.08500	0.50900
332.73	0.86500	0.08200	0.77800	0.20100
332.77	0.06600	0.30800	0.06000	0.45100
332.80	0.02200	0.87900	0.03900	0.74700
332.81	0.11000	0.17700	0.08900	0.49000
333.12	0.09300	0.22200	0.07600	0.50000
333.20	0.08400	0.22200	0.06700	0.51800
333.34	0.05300	0.90200	0.11200	0.77400
333.35	0.08100	0.20500	0.06600	0.49800
333.47	0.14800	0.15000	0.12300	0.46000
333.60	0.03100	0.95600	0.07300	0.89200
333.80	0.70700	0.10200	0.63400	0.28500
334.28	0.28200	0.19000	0.22300	0.52900
334.45	0.73300	0.08800	0.69400	0.22600
334.47	0.03800	0.93000	0.08300	0.83300
334.52	0.45700	0.19400	0.42300	0.39000
334.55	0.85300	0.03800	0.82800	0.11800
334.55	0.12800	0.11500	0.10400	0.44700
334.81	0.76400	0.07300	0.74400	0.18100
334.90	0.43600	0.13200	0.38500	0.41000
334.93	0.35000	0.16000	0.28900	0.47800
335.15	0.18900	0.17700	0.14500	0.55000
335.30	0.02900	0.94800	0.06300	0.87400
335.45	0.11100	0.10900	0.09100	0.43400
335.81	0.02200	0.96000	0.05000	0.90200
335.92	0.16200	0.08800	0.14400	0.40100
338.65	0.24300	0.05300	0.24300	0.28000
339.65	0.47700	0.04200	0.53800	0.18600
342.45	0.20400	0.06500	0.21900	0.27600
342.85	0.24100	0.05100	0.28700	0.22600
344.65	0.26400	0.02200	0.34200	0.13000
344.75	0.07700	0.02500	0.08600	0.20300
Source
Wisniak J.; Tamir A.: Vapor-Liquid Equilibria of the Ternary System Chloroform-Methanol Benzene. J.Chem.Eng.Data 23 (1978) 287-292
$$$Vapor-Liquid Equilibrium Data Set 18035
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	CH4O	32.042	67-56-1	Methanol
3	C6H6	78.114	71-43-2	Benzene
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
353.24	0.000000.000000.000000.00000
337.70	0.00000	1.000000.00000	1.00000
334.33	1.00000	0.000001.00000	0.00000
331.79	0.00800	0.81500	0.01200	0.68900
331.25	0.01100	0.73300	0.01500	0.64600
331.05	0.01600	0.61800	0.01800	0.61000
333.97	0.02800	0.91900	0.06000	0.80200
331.66	0.03600	0.80000	0.05700	0.67400
331.18	0.04400	0.45200	0.04200	0.57100
331.90	0.05300	0.82400	0.09100	0.68700
331.03	0.05300	0.70200	0.07100	0.62200
330.92	0.06200	0.56400	0.06700	0.58500
333.12	0.06400	0.88600	0.13000	0.75200
330.89	0.06500	0.59800	0.07400	0.59100
331.02	0.06600	0.48400	0.06600	0.57000
332.73	0.06600	0.18100	0.05400	0.51200
330.87	0.06900	0.63200	0.08200	0.59700
330.83	0.07800	0.58100	0.08800	0.58300
330.86	0.08400	0.53700	0.09000	0.57500
330.77	0.09100	0.58400	0.10400	0.58000
330.75	0.10000	0.67100	0.13100	0.59700
332.68	0.10100	0.17600	0.08300	0.50100
330.77	0.11000	0.52100	0.11800	0.56500
330.64	0.12100	0.56300	0.13800	0.56700
330.47	0.13600	0.61200	0.16700	0.57200
330.44	0.14200	0.63900	0.18400	0.57400
331.36	0.14800	0.29900	0.13000	0.51900
330.38	0.14900	0.67000	0.20400	0.57900
