$$$Vapor-Liquid Equilibrium Data Set 30763	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	298.15	K	
x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
0.02560	0.04900	0.05750	0.11280	
0.07430	0.04660	0.16050	0.08370	
0.17430	0.04210	0.33230	0.04990	
0.27550	0.03700	0.46610	0.03010	
0.44040	0.02860	0.62020	0.01470	
0.02470	0.10230	0.04190	0.21140	
0.09950	0.09460	0.17390	0.14670	
0.19690	0.08450	0.33090	0.09130	
0.35010	0.06840	0.52280	0.04470	
0.64580	0.03730	0.76290	0.01280	
0.01850	0.20000	0.02110	0.35220	
0.05420	0.19280	0.06510	0.31130	
0.10140	0.18320	0.13090	0.26290	
0.15660	0.17210	0.21440	0.21170	
0.20800	0.16170	0.29210	0.17050	
0.25390	0.15230	0.35350	0.13760	
0.50210	0.10170	0.64580	0.04730	
0.60480	0.08070	0.73210	0.03010	
0.80010	0.04090	0.86950	0.01090	
0.69250	0.06290	0.79560	0.02010	
0.05310	0.38210	0.03840	0.50870	
0.15090	0.34280	0.13560	0.41400	
0.28690	0.28800	0.32120	0.27320	
0.44990	0.22220	0.55170	0.14180	
0.04450	0.48120	0.02420	0.59270	
0.09880	0.45390	0.06340	0.55090	
0.20700	0.39950	0.17680	0.44090	
0.29650	0.35440	0.29880	0.34240	
0.39840	0.30310	0.45240	0.23830	
0.95070	0.02490	0.97420	0.00590	
0.90630	0.04720	0.95020	0.01170	
0.95080	0.02480	0.97470	0.00580	
0.86680	0.06710	0.92840	0.01690	
0.79580	0.10290	0.88150	0.03080	
0.66040	0.17100	0.77200	0.07080	
0.54770	0.22780	0.65050	0.12640	
0.94010	0.04490	0.97680	0.01090	
0.82720	0.12960	0.91880	0.04110	
0.70180	0.22360	0.82020	0.10030	
0.05030	0.71250	0.02070	0.76590	
0.14940	0.63820	0.08140	0.70230	
0.29750	0.52720	0.24160	0.55080	
0.49900	0.37600	0.56080	0.28550	
0.41630	0.18030	0.52700	0.12340	
0.30550	0.39880	0.28690	0.40130	
0.25390	0.50050	0.19540	0.53970	
0.02550	0.94900	0.00820	0.96520	
0.07550	0.84920	0.02790	0.89330	
0.14960	0.70110	0.07570	0.76610	
0.59650	0.25330	0.70380	0.14090	
0.35930	0.55030	0.30620	0.57510	
0.27220	0.65930	0.18180	0.73190	
0.15870	0.80130	0.07710	0.87710	
0.15810	0.80200	0.07370	0.87980	
0.48700	0.48830	0.51550	0.44810	
0.46140	0.46260	0.47910	0.41710	
0.38280	0.38260	0.39220	0.34680	
0.12720	0.19890	0.19890	0.18490	
0.23450	0.28110	0.28110	0.25210	
Source	
Gianni P.; Lepori L.; Matteoli E.: Excess Gibbs energies and volumes of the ternary system chloroform + tetrahydrofuran + cyclohexane at 298.15 K. Fluid Phase Equilib. 297 (2010) 52-61	
Source	
