$$$Vapor-Liquid Equilibrium Data Set 9082	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	H2O	18.015	7732-18-5	Water	
2	C2H4O2	60.053	64-19-7	Acetic acid	
3	C4H8O2	88.106	141-78-6	Ethyl acetate	
P [kPa]	T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
98.992	366.95	0.45300	0.46400	0.48200	0.21400	
100.125	371.65	0.08160	0.72000	0.14700	0.40500	
100.658	368.15	0.07240	0.64000	0.13100	0.30400	
99.325	366.25	0.06500	0.61500	0.12000	0.27400	
98.125	363.25	0.05500	0.55000	0.10000	0.21900	
97.992	362.05	0.04770	0.51500	0.09000	0.19000	
98.392	360.15	0.04100	0.45000	0.07900	0.15100	
101.192	359.05	0.03460	0.39600	0.06920	0.11400	
100.325	356.85	0.02600	0.32700	0.05410	0.08250	
100.325	355.35	0.02290	0.26500	0.04670	0.06310	
100.658	354.65	0.01630	0.22600	0.03930	0.04710	
100.525	353.85	0.01400	0.19300	0.03720	0.03610	
97.325	352.25	0.01160	0.16200	0.03220	0.03220	
100.992	373.25	0.13400	0.72200	0.21000	0.44800	
100.925	366.65	0.19190	0.59900	0.27000	0.26300	
100.392	362.55	0.14900	0.53300	0.21000	0.21200	
101.192	374.45	0.35000	0.60800	0.45000	0.38000	
100.525	367.95	0.33300	0.55300	0.39000	0.27600	
100.458	363.90	0.29000	0.51600	0.33500	0.20600	
100.658	361.45	0.25800	0.48500	0.30300	0.16300	
100.392	359.95	0.23100	0.46700	0.28000	0.14200	
99.059	356.15	0.19600	0.30200	0.24900	0.09210	
97.925	354.35	0.15950	0.34700	0.22000	0.07200	
99.525	354.05	0.13400	0.31200	0.20200	0.06000	
97.992	352.05	0.09300	0.24700	0.16700	0.04040	
97.925	351.15	0.06590	0.19300	0.13950	0.03000	
101.925	350.95	0.04540	0.15300	0.10950	0.02190	
101.858	371.35	0.57500	0.39400	0.60700	0.23100	
101.725	366.15	0.53200	0.39200	0.50900	0.16600	
100.992	369.60	0.11200	0.66500	0.17900	0.35600	
100.658	366.30	0.09380	0.60600	0.15300	0.28600	
99.992	364.35	0.08300	0.57000	0.14000	0.23700	
99.992	363.85	0.07390	0.55750	0.13000	0.22400	
98.725	359.95	0.14000	0.49400	0.19900	0.16400	
98.725	359.25	0.12200	0.46000	0.18200	0.15500	
98.459	357.50	0.09860	0.41000	0.15700	0.11700	
98.459	357.05	0.08350	0.39200	0.14100	0.10800	
97.859	355.25	0.06250	0.33200	0.11900	0.07460	
97.992	354.35	0.05000	0.28900	0.10000	0.06150	
99.325	353.15	0.03430	0.21100	0.07840	0.03940	
99.125	352.05	0.02400	0.15700	0.06490	0.02360	
99.925	372.85	0.23400	0.67900	0.32700	0.40000	
99.992	369.75	0.21200	0.64000	0.29100	0.34100	
101.725	360.95	0.48400	0.37200	0.43000	0.11300	
100.392	355.25	0.39800	0.32500	0.36000	0.06925	
100.725	351.95	0.30900	0.26600	0.32000	0.04350	
100.725	350.55	0.24550	0.22800	0.28200	0.02720	
99.992	349.15	0.17000	0.17200	0.24200	0.02450	
99.992	348.75	0.12550	0.13150	0.20800	0.02050	
100.592	348.85	0.08700	0.11100	0.16250	0.01690	
100.845	376.40	0.12600	0.76500	0.20800	0.51700	
100.845	365.35	0.77610	0.19500	0.61000	0.08900	
99.725	372.95	0.27980	0.63600	0.37350	0.37400	
99.725	357.15	0.72250	0.19900	0.43600	0.05500	
101.512	371.15	0.48980	0.46200	0.54550	0.26000	
102.165	351.95	0.64750	0.18150	0.34600	0.03100	
Source	
Garner F.H.; Ellis S.R.M.; Pearce C.J.: Extraction of Acetic Acid from Water. Chem.Eng.Sci. 4 (1955) 273-278	
$$$Vapor-Liquid Equilibrium Data Set 34207	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	H2O	18.015	7732-18-5	Water	
2	C2H4O2	60.053	64-19-7	Acetic acid	
3	C4H8O2	88.106	141-78-6	Ethyl acetate	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
350.15	0.21660	0.15240	0.15120	0.10000	
349.15	0.45940	0.21860	0.78460	0.02197	
357.15	0.41530	0.23610	0.58760	0.05560	
347.65	0.11000	0.29140	0.24130	0.26930	
346.15	0.17700	0.13700	0.60000	0.00000	
344.15	0.10950	0.17330	0.38060	0.06290	
348.15	0.25960	0.18540	0.61830	0.00630	
344.15	0.34430	0.12310	0.38670	0.07620	
346.15	0.02770	0.13510	0.70000	0.00000	
357.15	0.01430	0.14930	0.05410	0.08930	
356.15	0.37980	0.13780	0.31710	0.09880	
342.15	0.34680	0.11690	0.80000	0.00000	
369.15	0.90230	0.01080	0.42710	0.00726	
370.15	0.80700	0.18180	0.37970	0.09280	
Source	
Desai S.S.; Gadekar S.V.: Vapor Liquid Equilibrium and Residue Curve Map for Acetic Acid-Water-Ethyl Acetate Ternary System. CHEMCON 2010 National Conference  (2010) 1-10	
Source	
