$$$Vapor-Liquid Equilibrium Data Set 34209
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C2H3N	41.053	75-05-8	Acetonitrile
Temperature	348.20	K
P [kPa]	x1 [mol/mol]	y1 [mol/mol]
83.700	0.000000.00000
137.999	0.04200	0.47500
151.500	0.06400	0.52500
162.200	0.08100	0.56500
171.801	0.09900	0.59500
184.000	0.13200	0.62400
188.001	0.31200	0.65000
188.001	0.65400	0.65000
184.399	0.87200	0.67400
176.200	0.91600	0.71400
169.099	0.93400	0.75600
156.500	0.97100	0.81500
140.500	0.98900	0.89900
125.300	1.000001.00000
Source
Narasigadu C.; Naidoo P.; Coquelet C.; Richon D.; Ramjugernath D.: A novel static analytical apparatus for phase equilibrium measurements. Fluid Phase Equilib. 338 (2013) 188-196
Source
Narasigadu C.; Naidoo P.; Coquelet C.; Richon D.; Ramjugernath D.: A novel static analytical apparatus for phase equilibrium measurements. Fluid Phase Equilib. 338 (2013) 188-196
