$$$Vapor-Liquid Equilibrium Data Set 11395	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	CHCl3	119.377	67-66-3	Chloroform	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	323.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
41.330	0.71000	0.04300	0.45200	0.08200	
46.023	0.30600	0.04900	0.29700	0.06200	
40.850	0.05100	0.05100	0.13000	0.06500	
44.063	0.57300	0.08300	0.37800	0.13300	
45.316	0.47100	0.09300	0.34100	0.13400	
45.023	0.14100	0.09700	0.22500	0.11900	
46.636	0.31700	0.13300	0.28700	0.17400	
48.423	0.49100	0.22300	0.31600	0.34300	
45.063	0.04900	0.23500	0.11900	0.29600	
50.209	0.26900	0.28200	0.23900	0.36300	
51.889	0.13800	0.37900	0.16900	0.46600	
56.369	0.15600	0.53100	0.15100	0.63500	
62.315	0.25200	0.65600	0.15600	0.78400	
62.343	0.10800	0.71500	0.10100	0.80000	
54.542	0.26800	0.43200	0.20500	0.55300	
56.502	0.36600	0.45900	0.22300	0.62800	
Source	
Nagata I.: Vapor-Liquid Equilibria for the Ternary System 2-Propanol-Chloroform-Benzene. J.Chem.Eng.Data 30 (1985) 80-82	
Source	
