$$$Vapor-Liquid Equilibrium Data Set 14938
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H4O2	60.053	64-19-7	Acetic acid
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
4	C4H8O2	88.106	141-78-6	Ethyl acetate
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
349.15	0.10170	0.26390	0.37110	0.00890	0.26520	0.27770
353.65	0.23210	0.09030	0.41450	0.04230	0.11220	0.32830
348.55	0.07550	0.32910	0.35690	0.00700	0.32280	0.26080
351.15	0.16670	0.16400	0.39110	0.02080	0.17530	0.30830
354.95	0.26430	0.08580	0.38040	0.04900	0.10200	0.32600
366.85	0.47150	0.01610	0.39600	0.19570	0.03120	0.40360
360.65	0.36360	0.03760	0.43000	0.11510	0.05770	0.38580
359.65	0.35260	0.04460	0.40160	0.09190	0.06290	0.36220
364.15	0.46020	0.02340	0.34960	0.16710	0.03670	0.36090
367.95	0.53230	0.01330	0.31270	0.26090	0.02370	0.34420
370.45	0.57960	0.01100	0.28500	0.31190	0.01750	0.33170
374.65	0.66570	0.00620	0.23160	0.41750	0.01360	0.30880
371.85	0.63940	0.00840	0.21740	0.35910	0.01540	0.28670
348.25	0.00800	0.74440	0.12240	0.00060	0.66210	0.10370
345.95	0.01710	0.53240	0.08320	0.00090	0.47460	0.07970
346.05	0.01770	0.49530	0.07520	0.00070	0.44970	0.07600
347.55	0.09390	0.26060	0.19820	0.00600	0.25280	0.19830
352.45	0.10220	0.16890	0.63110	0.01090	0.23340	0.37190
353.45	0.08880	0.14030	0.70380	0.01020	0.23830	0.38830
353.15	0.07120	0.16850	0.69880	0.00810	0.27900	0.38780
352.25	0.04700	0.23790	0.65790	0.00900	0.34460	0.40160
353.05	0.02660	0.25470	0.68480	0.00270	0.41530	0.39210
354.45	0.02390	0.20250	0.75310	0.00270	0.39270	0.43370
353.75	0.01600	0.26270	0.70140	0.00160	0.46400	0.40430
352.05	0.03790	0.26390	0.64590	0.00620	0.37010	0.39600
351.45	0.04880	0.26460	0.61070	0.00420	0.35420	0.35540
350.65	0.06700	0.26460	0.55810	0.00550	0.32470	0.33090
350.45	0.08510	0.26550	0.48750	0.01030	0.29370	0.32310
350.05	0.10410	0.25580	0.41550	0.00850	0.26390	0.29580
349.75	0.11290	0.24340	0.35760	0.01150	0.24490	0.27740
348.65	0.11670	0.22400	0.28430	0.01230	0.22340	0.24250
348.75	0.12200	0.20710	0.23450	0.01290	0.20860	0.22160
348.75	0.12330	0.18920	0.20260	0.01290	0.19530	0.20440
352.75	0.25060	0.08750	0.22290	0.04260	0.09650	0.24040
356.45	0.33820	0.05200	0.21550	0.07630	0.06360	0.24560
360.45	0.43530	0.03120	0.19830	0.13480	0.04130	0.23870
358.85	0.35380	0.05170	0.34100	0.09170	0.06590	0.33100
361.75	0.42640	0.03550	0.31330	0.13440	0.04750	0.32900
359.75	0.41040	0.03760	0.28390	0.11780	0.04980	0.29180
358.35	0.38440	0.04350	0.24020	0.10030	0.05480	0.25860
349.55	0.11850	0.10580	0.11820	0.01600	0.12750	0.13970
346.15	0.04260	0.32270	0.14910	0.00400	0.32240	0.12000
345.85	0.02110	0.48030	0.11000	0.00220	0.44000	0.09660
346.05	0.01560	0.53240	0.12460	0.00070	0.46010	0.13080
346.45	0.01020	0.62480	0.08750	0.00040	0.54460	0.07290
346.55	0.00800	0.66360	0.07860	0.00030	0.57870	0.06660
347.55	0.01380	0.64840	0.16790	0.00060	0.57570	0.13470
350.95	0.02780	0.34240	0.57130	0.00170	0.43830	0.34320
350.65	0.04210	0.29270	0.58940	0.00300	0.37690	0.34390
351.15	0.08720	0.04050	0.04510	0.01620	0.05940	0.07310
355.75	0.25610	0.01660	0.04940	0.06800	0.02720	0.06450
352.75	0.19150	0.04590	0.07800	0.03730	0.06190	0.10810
358.05	0.35530	0.01930	0.07450	0.10550	0.03000	0.10660
362.55	0.47730	0.01100	0.06950	0.18080	0.01710	0.10150
365.05	0.53100	0.00940	0.08120	0.23360	0.01490	0.11460
370.75	0.64960	0.00440	0.07190	0.35810	0.00670	0.10790
373.45	0.70410	0.00380	0.07730	0.43140	0.00670	0.11710
376.05	0.75100	0.00240	0.06380	0.49950	0.00470	0.11150
369.75	0.21590	0.01200	0.75910	0.10680	0.04000	0.70850
370.05	0.28920	0.00880	0.67700	0.14750	0.02850	0.64520
372.95	0.37130	0.00440	0.60400	0.20600	0.01440	0.65390
369.15	0.36840	0.01120	0.57440	0.17050	0.03170	0.57620
375.85	0.54030	0.00300	0.42760	0.35870	0.00740	0.51260
371.65	0.52680	0.00870	0.39620	0.28580	0.01770	0.45210
352.45	0.12860	0.02510	0.04410	0.01900	0.03780	0.05200
352.75	0.08250	0.02380	0.03430	0.01620	0.03330	0.04440
348.95	0.04080	0.13980	0.05660	0.00490	0.17650	0.07730
347.05	0.02550	0.26790	0.05730	0.00360	0.29700	0.08020
346.25	0.01860	0.36150	0.05690	0.00160	0.37120	0.06000
346.25	0.03830	0.40730	0.12420	0.00240	0.37910	0.11660
347.85	0.07340	0.34160	0.31080	0.00660	0.32250	0.24670
347.85	0.04610	0.44250	0.31660	0.00510	0.41030	0.23770
347.75	0.05110	0.41830	0.28830	0.00420	0.38010	0.23570
347.35	0.05780	0.39530	0.26170	0.00450	0.36090	0.21100
347.35	0.04270	0.46560	0.24210	0.00340	0.41320	0.21120
347.65	0.02480	0.56100	0.20160	0.00320	0.49980	0.17360
348.35	0.02120	0.58600	0.23480	0.00210	0.53620	0.18230
350.05	0.03690	0.40390	0.46600	0.00340	0.43980	0.30990
350.95	0.03980	0.34280	0.54430	0.00280	0.41440	0.33760
350.05	0.05510	0.33950	0.48420	0.00650	0.36910	0.32240
350.45	0.06360	0.31020	0.50300	0.00510	0.34960	0.32290
349.55	0.07870	0.30380	0.44770	0.00780	0.31630	0.30840
383.65	0.86380	0.00090	0.08170	0.72410	0.00170	0.14050
384.55	0.87870	0.00040	0.07310	0.74970	0.00130	0.12840
383.65	0.86700	0.00070	0.06720	0.73050	0.00130	0.11470
383.45	0.87160	0.00060	0.05760	0.72740	0.00130	0.10190
381.65	0.84660	0.00080	0.05140	0.67130	0.00170	0.09250
380.35	0.82970	0.00060	0.04690	0.63640	0.00180	0.08290
Source
Kang Y.W.; Lee Y.Y.; Lee W.K.: Systems containing Acetic Acid, Ethyl Alcohol, Water, and Ethyl Acetate. J.Chem.Eng.Japan 25 (1992) 649-655
$$$Vapor-Liquid Equilibrium Data Set 15572
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
4	C2H4O2	60.053	64-19-7	Acetic acid
Pressure	101.33	kPa
x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
0.33400	0.16100	0.31900	0.52900	0.17600	0.28900
0.61200	0.11700	0.14400	0.69200	0.12800	0.17300
0.61100	0.11100	0.14800	0.68700	0.12800	0.18200
0.27700	0.04400	0.22000	0.55300	0.06000	0.27900
0.28000	0.39600	0.24800	0.41400	0.37500	0.21000
Source
Golikova T.N.; Rudakovskaya T.S.; Balashov M.I.; Serafimov L.A.; Nizamova K.Kh.: Dampf-Flüssig-Gleichgewichtsmodellierung der Ethylacetat-Ethanol-Wasser-Essigsäure-Mischung  mit chemischer Wechselwirkung der Komponenten. Tr.Mosk.Inst.Tonkoj Khim.Tekhnol. 5 (1975) 180-185
$$$Vapor-Liquid Equilibrium Data Set 25866
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
4	C2H4O2	60.053	64-19-7	Acetic acid
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
350.27	1.00000	0.000000.000001.00000	0.000000.00000
351.43	0.000001.00000	0.000000.000001.00000	0.00000
373.15	0.00000	0.00000	1.000000.00000	0.00000	1.00000
390.95	0.000000.000000.000000.000000.000000.00000
352.11	0.26320	0.20360	0.30040	0.52740	0.24710	0.21790
352.38	0.34740	0.18370	0.28870	0.55900	0.20520	0.22780
355.17	0.26980	0.13540	0.27970	0.59080	0.16840	0.22490
347.71	0.35880	0.15270	0.36980	0.60150	0.17010	0.22840
353.14	0.26490	0.34840	0.15790	0.46250	0.37630	0.15210
353.88	0.22280	0.14810	0.33620	0.55500	0.19530	0.24320
354.93	0.15540	0.16290	0.43870	0.45480	0.22000	0.30690
351.56	0.28310	0.24480	0.31390	0.49450	0.25450	0.24720
357.80	0.11900	0.15680	0.46110	0.40740	0.25550	0.32390
347.82	0.51430	0.16830	0.23270	0.61180	0.17080	0.21570
351.10	0.08580	0.41630	0.41420	0.53570	0.29640	0.16790
351.28	0.09120	0.46160	0.35330	0.46420	0.35750	0.17820
349.79	0.18180	0.33470	0.39290	0.39710	0.35160	0.25130
347.82	0.26390	0.10520	0.50880	0.46500	0.13100	0.40390
347.83	0.28040	0.22240	0.38600	0.53820	0.21730	0.24450
347.91	0.27970	0.32950	0.28880	0.48350	0.30860	0.20790
347.44	0.36050	0.11520	0.40040	0.65260	0.12100	0.22630
347.17	0.36650	0.19860	0.32920	0.55510	0.20580	0.23920
347.80	0.40830	0.42350	0.08980	0.49770	0.40260	0.09970
349.22	0.19850	0.54250	0.17710	0.31180	0.52550	0.15270
355.70	0.20260	0.27580	0.20490	0.42610	0.32830	0.21680
358.89	0.16680	0.11100	0.37490	0.48040	0.17920	0.31720
348.46	0.17870	0.56080	0.09230	0.40660	0.49650	0.09690
354.77	0.14460	0.43850	0.16380	0.31650	0.50330	0.17310
353.57	0.12440	0.40660	0.29020	0.33460	0.44560	0.21780
354.96	0.15140	0.23430	0.46810	0.43460	0.30180	0.26360
347.31	0.45100	0.10270	0.33170	0.56350	0.11370	0.22280
347.56	0.50470	0.20860	0.19680	0.59380	0.21150	0.19470
355.54	0.13660	0.14880	0.46460	0.48700	0.22570	0.28720
351.23	0.14300	0.45490	0.25540	0.32550	0.47300	0.20150
351.17	0.14490	0.34340	0.36550	0.37120	0.38180	0.24700
351.89	0.12060	0.22900	0.45900	0.43390	0.30680	0.25920
353.84	0.11920	0.14130	0.55280	0.46800	0.23930	0.29280
356.05	0.06830	0.06230	0.65530	0.45510	0.15030	0.39460
Source
Calvar N.; Dominguez A.; Tojo J.: Vapor-Liquid Equilibria for the Quaternary Reactive System Ethyl Acetate + Ethanol + Water + Acetic Acid and some of the Constituent Binary Systems at 101.3 kPa. Fluid Phase Equilib. 235 (2005) 215-222
Source
