$$$Vapor-Liquid Equilibrium Data Set 2072	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	C6H6	78.114	71-43-2	Benzene	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
339.66	0.20000	0.64000	0.16500	0.50000	
340.81	0.40000	0.48000	0.27000	0.50000	
343.60	0.60000	0.32000	0.38500	0.48000	
347.92	0.80000	0.16000	0.59500	0.32500	
339.55	0.20000	0.48000	0.18300	0.47500	
340.46	0.40000	0.36000	0.24500	0.47500	
343.58	0.60000	0.24000	0.34500	0.44500	
348.21	0.80000	0.12000	0.60500	0.27000	
339.60	0.20000	0.32000	0.19200	0.46500	
340.65	0.40000	0.24000	0.24000	0.45000	
344.30	0.60000	0.16000	0.35000	0.40000	
349.33	0.80000	0.08000	0.64000	0.20000	
339.91	0.20000	0.16000	0.19500	0.46000	
342.15	0.40000	0.12000	0.32000	0.33000	
346.65	0.60000	0.08000	0.43500	0.27000	
350.89	0.80000	0.04000	0.70000	0.10000	
Source	
Mitropolskaya V.A.; Kazaz M.S.; Mozzhukhin A.S.; Serafimov L.A.: Flüssig-Flüssig- und Dampf-Flüssig-Gleichgewichte in System Benzol-Isopropanol-Wasser bei 760 mmHg. Tr.Mosk.Inst.Tonkoj Khim.Tekhnol. 2 (1972) 207-213	
$$$Vapor-Liquid Equilibrium Data Set 7222	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	H2O	18.015	7732-18-5	Water	
3	C6H6	78.114	71-43-2	Benzene	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
352.15	0.79920	0.13300	0.78200	0.13040	
351.35	0.79650	0.12410	0.77710	0.04440	
351.65	0.79310	0.13870	0.78700	0.04420	
351.95	0.74700	0.24410	0.63600	0.24270	
349.05	0.72390	0.21890	0.51460	0.24600	
349.65	0.71260	0.26340	0.56040	0.23370	
349.45	0.70920	0.19760	0.64360	0.07120	
346.95	0.65130	0.15690	0.36290	0.25090	
347.15	0.65710	0.16720	0.35800	0.23760	
346.15	0.64250	0.26850	0.40430	0.23830	
350.35	0.61470	0.37850	0.56670	0.27400	
345.35	0.56830	0.13320	0.34510	0.21050	
351.65	0.56130	0.40630	0.51230	0.26910	
350.15	0.55590	0.37780	0.42520	0.29750	
350.65	0.55140	0.44000	0.55450	0.32870	
348.35	0.52280	0.40890	0.46530	0.27240	
351.15	0.51710	0.46070	0.54510	0.29260	
343.05	0.51640	0.02250	0.33880	0.16540	
352.15	0.43150	0.56100	0.56880	0.33040	
343.55	0.43120	0.05930	0.31840	0.15710	
342.85	0.42040	0.40670	0.27760	0.31550	
352.95	0.41150	0.56590	0.54950	0.34330	
341.05	0.39390	0.28660	0.25510	0.17780	
342.65	0.37450	0.48640	0.27650	0.24350	
340.85	0.36840	0.27880	0.24210	0.22690	
343.95	0.34530	0.06060	0.20100	0.12260	
344.15	0.28850	0.62450	0.25990	0.25220	
341.25	0.26440	0.61550	0.22270	0.26480	
340.05	0.25120	0.49860	0.24020	0.26860	
354.55	0.25120	0.74510	0.56640	0.37680	
339.85	0.24580	0.28780	0.19130	0.24590	
348.45	0.22100	0.75310	0.37970	0.28700	
343.45	0.20150	0.76650	0.28960	0.24940	
340.85	0.19590	0.62880	0.21820	0.23360	
341.05	0.18360	0.77400	0.24430	0.24540	
340.25	0.18060	0.55630	0.15080	0.30050	
340.15	0.17860	0.69330	0.21470	0.36960	
339.85	0.17350	0.57840	0.19790	0.25080	
355.45	0.15810	0.84060	0.58480	0.38800	
339.85	0.15730	0.28170	0.17920	0.21630	
343.85	0.12670	0.69410	0.17610	0.24680	
354.15	0.12470	0.82320	0.07700	0.17620	
345.15	0.12460	0.86560	0.35110	0.29420	
341.15	0.11950	0.84930	0.21320	0.26280	
340.15	0.11610	0.76450	0.20650	0.24500	
340.15	0.10700	0.71020	0.20990	0.23330	
345.15	0.10410	0.87270	0.27990	0.28310	
343.65	0.10090	0.82680	0.12690	0.25520	
356.45	0.09390	0.90500	0.56770	0.42470	
341.15	0.09220	0.85900	0.18950	0.22440	
342.15	0.08880	0.89060	0.23720	0.24060	
340.35	0.08750	0.89320	0.20200	0.22910	
353.45	0.07460	0.92210	0.37280	0.44250	
354.15	0.06310	0.93420	0.34010	0.51220	
358.35	0.06040	0.93880	0.55220	0.43710	
347.85	0.06010	0.85280	0.18030	0.22750	
340.15	0.05930	0.88650	0.17540	0.20200	
354.45	0.05600	0.94130	0.35770	0.44740	
340.75	0.04510	0.76210	0.15040	0.20340	
346.65	0.04450	0.27620	0.15100	0.05600	
348.75	0.04300	0.84840	0.15990	0.15700	
359.15	0.03790	0.96160	0.30260	0.59650	
345.05	0.03270	0.40660	0.10890	0.05650	
361.65	0.03160	0.96790	0.24600	0.69470	
363.55	0.02950	0.97000	0.18420	0.63770	
362.75	0.02920	0.97050	0.45440	0.54370	
366.65	0.02650	0.97280	0.06690	0.64850	
343.45	0.02360	0.55560	0.07980	0.02910	
367.95	0.02340	0.97630	0.39150	0.60670	
363.25	0.01890	0.98020	0.16410	0.64760	
363.35	0.01880	0.98090	0.25490	0.68460	
360.45	0.01880	0.98090	0.12970	0.57460	
368.15	0.01750	0.98200	0.11900	0.78070	
365.05	0.01670	0.98260	0.31170	0.59520	
345.55	0.01140	0.69450	0.03340	0.41050	
370.15	0.01050	0.98880	0.06680	0.90430	
Source	
Yorizane M.; Yoshimura S.: Measurement and Prediction of Vapor-Liquid Equilibrium of the Ternary System. Hiroshima Daigaku Kogakubu Kenkyu Hokoku 13 (1965) 41-50	
$$$Vapor-Liquid Equilibrium Data Set 7386	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C3H8O	60.096	67-63-0	2-Propanol	
3	H2O	18.015	7732-18-5	Water	
Pressure	26.664	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
307.47	0.91272	0.07462	0.67754	0.12688	
307.47	0.00103	0.04930	0.67754	0.12688	
307.20	0.77224	0.18371	0.65171	0.15711	
307.20	0.00133	0.06361	0.65171	0.15711	
307.41	0.61004	0.26908	0.64746	0.16471	
307.41	0.00191	0.07512	0.64746	0.16471	
307.67	0.30527	0.36245	0.63287	0.17998	
307.67	0.00459	0.09814	0.63287	0.17998	
Source	
Morachevskii A.G.; Legochkina L.A.: Three-Phase Equilibria Liquid-Liquid-Vapor in the System Isopropanol-Benzene-Water. J.Appl.Chem.USSR 38 (1965) 1751-1754	
Source	
