$$$Vapor-Liquid Equilibrium Data Set 1802	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
345.95	0.01880	0.37780	0.09120	0.64500	
340.65	0.02530	0.67220	0.07730	0.78690	
342.35	0.03310	0.55640	0.09530	0.71910	
337.35	0.04290	0.87100	0.09450	0.87100	
337.55	0.04490	0.84390	0.10180	0.84960	
343.15	0.06280	0.30420	0.27310	0.44200	
345.95	0.06390	0.11660	0.43830	0.26900	
340.65	0.07240	0.49850	0.21760	0.61390	
337.85	0.07570	0.71500	0.18300	0.72300	
342.85	0.08400	0.04010	0.60370	0.08580	
340.75	0.09050	0.39400	0.30420	0.49550	
342.85	0.09100	0.18280	0.41540	0.32800	
341.75	0.09520	0.26680	0.38170	0.37460	
337.55	0.09710	0.62710	0.23520	0.66150	
335.65	0.11200	0.75800	0.23120	0.71800	
338.75	0.13140	0.37290	0.36330	0.45650	
338.25	0.15150	0.40500	0.38270	0.44000	
338.75	0.16650	0.23950	0.47710	0.29040	
334.25	0.16960	0.70260	0.29600	0.64070	
337.85	0.16970	0.37760	0.42260	0.41260	
337.05	0.17580	0.44120	0.39550	0.45430	
337.05	0.19540	0.34760	0.41900	0.39700	
337.35	0.21910	0.19540	0.57420	0.22060	
333.45	0.22380	0.64970	0.38000	0.56940	
336.75	0.23650	0.07950	0.69200	0.10550	
334.05	0.27080	0.49740	0.45740	0.45050	
335.95	0.27120	0.23950	0.58130	0.24820	
333.75	0.27120	0.51150	0.46120	0.45000	
334.65	0.29500	0.34750	0.52100	0.35430	
333.45	0.31550	0.48650	0.48650	0.42650	
334.85	0.33140	0.29560	0.56140	0.25630	
335.25	0.33300	0.13830	0.70070	0.14610	
331.85	0.33430	0.54750	0.50000	0.45500	
331.75	0.35100	0.49050	0.49350	0.47000	
330.65	0.38420	0.57930	0.49720	0.48710	
333.75	0.38750	0.30730	0.59520	0.27950	
334.05	0.40850	0.11340	0.71500	0.10390	
332.95	0.42420	0.26150	0.64470	0.21450	
334.25	0.43150	0.09400	0.74370	0.09660	
329.65	0.47150	0.47450	0.57260	0.40500	
333.15	0.47220	0.10430	0.73660	0.10880	
332.65	0.47780	0.15720	0.72390	0.11850	
332.55	0.52900	0.08650	0.79100	0.06050	
329.65	0.55900	0.38070	0.63340	0.33960	
331.25	0.57020	0.20350	0.72110	0.16870	
330.65	0.61400	0.20020	0.73150	0.17700	
330.95	0.62090	0.16330	0.75450	0.13880	
330.75	0.67500	0.10250	0.78650	0.10800	
329.15	0.74440	0.18800	0.78320	0.18050	
329.25	0.75290	0.17080	0.78520	0.17640	
329.65	0.81000	0.08710	0.83700	0.09330	
330.15	0.82200	0.04060	0.86860	0.06330	
329.35	0.85360	0.04970	0.88460	0.05690	
329.65	0.89930	0.03700	0.93910	0.04340	
Source	
Chu J.C.; Getty R.J.; Brennecke L.F.; Paul R.: Distillation Equilibrium Data. Monograph  (1950) 1-304	
$$$Vapor-Liquid Equilibrium Data Set 1803	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
343.15	0.10000	0.10000	0.61000	0.13000	
343.15	0.10000	0.20000	0.52000	0.24000	
342.55	0.10000	0.30000	0.43000	0.35500	
341.95	0.10000	0.40000	0.37000	0.45000	
341.15	0.10000	0.50000	0.32000	0.54000	
339.65	0.10000	0.60000	0.26000	0.63000	
338.15	0.10000	0.70000	0.22000	0.71000	
336.65	0.10000	0.80000	0.18500	0.78000	
338.15	0.20000	0.10000	0.72000	0.07000	
338.65	0.20000	0.20000	0.63500	0.18000	
338.65	0.20000	0.30000	0.56000	0.28000	
337.65	0.20000	0.40000	0.50000	0.37000	
336.65	0.20000	0.50000	0.44000	0.47000	
335.65	0.20000	0.60000	0.38500	0.55000	
334.15	0.20000	0.70000	0.34000	0.62500	
335.95	0.30000	0.10000	0.76000	0.06500	
335.85	0.30000	0.20000	0.70000	0.15000	
335.45	0.30000	0.30000	0.62500	0.25500	
334.65	0.30000	0.40000	0.57000	0.34500	
333.65	0.30000	0.50000	0.52000	0.41500	
332.65	0.30000	0.60000	0.46500	0.50000	
334.65	0.40000	0.10000	0.79000	0.06000	
333.95	0.40000	0.20000	0.72500	0.15500	
333.15	0.40000	0.30000	0.67000	0.24200	
332.55	0.40000	0.40000	0.61500	0.32200	
331.55	0.40000	0.50000	0.56500	0.40200	
333.15	0.50000	0.10000	0.81000	0.06500	
332.55	0.50000	0.20000	0.75000	0.16000	
331.75	0.50000	0.30000	0.70000	0.23200	
330.75	0.50000	0.40000	0.65000	0.31700	
332.25	0.60000	0.10000	0.82000	0.08000	
331.45	0.60000	0.20000	0.77000	0.16300	
330.45	0.60000	0.30000	0.72000	0.24500	
331.35	0.70000	0.10000	0.82700	0.09500	
330.35	0.70000	0.20000	0.77800	0.18400	
330.35	0.80000	0.10000	0.86000	0.10000	
Source	
Griswold J.; Buford C.B.: Separation of synthesis mixtures Vapor-liquid equilibria of acetone-methanol-water. Ind.Eng.Chem. 41 (1949) 2347-2351	
$$$Vapor-Liquid Equilibrium Data Set 3735	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C3H6O	58.080	67-64-1	Acetone	
3	H2O	18.015	7732-18-5	Water	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
337.90	0.20000	0.20000	0.22900	0.59700	
337.21	0.40000	0.20000	0.41400	0.45400	
335.20	0.60000	0.20000	0.55700	0.37100	
333.67	0.20000	0.40000	0.19100	0.68200	
332.33	0.40000	0.40000	0.34800	0.58000	
331.00	0.20000	0.60000	0.18400	0.73500	
Source	
Verhoeye L.A.; de Schepper H.: The Vapor-Liquid Equilibria of the Binary, Ternary and Quaternary Systems Formed by Acetone, Methanol Propan-2-ol and Water. J.Appl.Chem.Biotechnol. 23 (1973) 607-619	
Source	
