$$$Vapor-Liquid Equilibrium Data Set 34827	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	H2O	18.015	7732-18-5	Water	
2	C4H10O	74.123	71-36-3	1-Butanol	
3	C6H12	84.161	110-82-7	Cyclohexane	
Pressure	101.30	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
348.67	0.31600	0.57000	0.29200	0.09400	
350.09	0.30100	0.57800	0.29400	0.11900	
353.41	0.25200	0.65800	0.41400	0.12500	
358.41	0.20900	0.71600	0.43300	0.16400	
361.49	0.17700	0.75500	0.44000	0.19400	
365.54	0.14200	0.81000	0.43000	0.23800	
373.12	0.11000	0.84600	0.38700	0.36400	
379.92	0.05900	0.92300	0.28300	0.56300	
364.57	0.31900	0.66800	0.64100	0.23700	
365.33	0.30800	0.67900	0.64500	0.24700	
366.85	0.29600	0.69200	0.63600	0.26800	
368.77	0.23600	0.75500	0.62600	0.30100	
372.04	0.18400	0.81100	0.58800	0.36100	
374.71	0.15000	0.84700	0.54700	0.41600	
377.93	0.11400	0.88400	0.48000	0.49800	
377.82	0.07900	0.90200	0.32800	0.53100	
377.96	0.05600	0.91200	0.23200	0.54300	
376.19	0.05700	0.89500	0.20400	0.48600	
373.92	0.03500	0.89100	0.13400	0.43400	
368.69	0.04600	0.85000	0.17000	0.33900	
363.77	0.06700	0.79500	0.19600	0.26000	
358.64	0.09600	0.73000	0.24400	0.19200	
352.99	0.13900	0.64400	0.27500	0.12800	
351.06	0.14400	0.63100	0.28500	0.10600	
348.12	0.16100	0.54100	0.28000	0.08700	
347.19	0.12900	0.51100	0.25600	0.08500	
348.06	0.08600	0.50800	0.22600	0.09100	
351.66	0.06300	0.59600	0.18100	0.11800	
353.66	0.04500	0.62200	0.13800	0.13800	
356.26	0.05100	0.67200	0.13800	0.16300	
360.17	0.03500	0.73600	0.11500	0.19700	
358.61	0.38400	0.57800	0.53700	0.17700	
Source	
Gomis V.; Font A.; Saquete M.D.; Garcia-Cano J.: Experimental Determination and Correlation. J.Chem.Eng.Data 58 (2013) 3320-3326	
Source	
