$$$Vapor-Liquid Equilibrium Data Set 5004	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C4H10O	74.123	71-36-3	1-Butanol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
351.15	0.20000	0.64000	0.32650	0.65180	
354.95	0.20000	0.48000	0.40500	0.55000	
358.67	0.20000	0.32000	0.50300	0.43500	
364.30	0.20000	0.16000	0.61300	0.25710	
347.21	0.40000	0.48000	0.55200	0.43320	
349.65	0.40000	0.36000	0.65830	0.31050	
353.19	0.40000	0.24000	0.71600	0.24100	
346.15	0.60000	0.24000	0.84195	0.15200	
347.09	0.80000	0.04000	0.97880	0.01200	
354.22	0.05000	0.76000	0.10200	0.88300	
371.78	0.05000	0.19000	0.20850	0.50150	
366.35	0.20000	0.08000	0.70600	0.14500	
353.05	0.60000	0.04000	0.97020	0.01390	
372.01	0.10000	0.09000	0.47800	0.24200	
Source	
Karaseva A.P.; Frolov A.F.: Liquid-Vapour Equilibrium in the Methanol-Ethanol-Butanol System. Viniti  (1971) 1-8	
Source	
