$$$Vapor-Liquid Equilibrium Data Set 15573	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C6H6	78.114	71-43-2	Benzene	
3	C6H6	78.114	71-43-2	Acetic acid butyl ester	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
350.25	1.00000	0.00000	1.00000	0.00000	
353.25	0.00000	1.00000	0.00000	1.00000	
399.25	0.00000	0.00000	0.00000	0.00000	
356.85	0.20000	0.64000	0.24300	0.73000	
354.75	0.40000	0.48000	0.45500	0.51600	
352.95	0.60000	0.32000	0.65600	0.32100	
351.55	0.80000	0.16000	0.83800	0.15200	
362.25	0.20000	0.48000	0.27300	0.58700	
358.25	0.40000	0.36000	0.49800	0.41000	
355.25	0.60000	0.24000	0.70400	0.24800	
352.65	0.80000	0.12000	0.86500	0.11300	
368.55	0.20000	0.32000	0.30400	0.43100	
362.75	0.40000	0.24000	0.55400	0.29400	
357.75	0.60000	0.16000	0.73400	0.18000	
353.85	0.80000	0.08000	0.88600	0.08000	
376.05	0.20000	0.16000	0.32000	0.22800	
367.35	0.40000	0.12000	0.59400	0.16000	
360.55	0.60000	0.08000	0.78100	0.09300	
355.15	0.80000	0.04000	0.90900	0.04100	
Source	
Anton N.D.; Nguen T.T.; Igoshina V.S.; Tikhonova N.K.; Timofeev V.S.; Serafimov L.A.: Untersuchung der physikalisch-chemischen Eigenschaften in ternären Lösungsmittelsystemen. Tr.Mosk.Inst.Tonkoj Khim.Tekhnol. 3 (1973) 105-109	
Source	
