$$$Vapor-Liquid Equilibrium Data Set 3665
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C6H6	78.114	71-43-2	Benzene
3	C4H10O	74.123	71-36-3	1-Butanol
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
367.05	0.02330	0.19200	0.12340	0.51340
365.25	0.03000	0.20400	0.15900	0.51500
360.75	0.03750	0.30500	0.14320	0.58700
358.65	0.04340	0.36650	0.14850	0.64200
357.05	0.06000	0.34650	0.21500	0.59680
354.95	0.07000	0.39000	0.23700	0.60330
353.35	0.08330	0.37680	0.28500	0.56200
353.85	0.08680	0.40000	0.26680	0.57000
352.55	0.09430	0.41330	0.27200	0.58000
351.45	0.12000	0.41200	0.33000	0.53330
350.85	0.14330	0.39670	0.36550	0.51200
350.15	0.14670	0.41340	0.36680	0.51670
349.65	0.17200	0.38680	0.41330	0.47000
349.45	0.19000	0.34670	0.44800	0.44000
352.65	0.19000	0.19000	0.54680	0.28670
351.05	0.19340	0.19340	0.55900	0.29340
348.35	0.22680	0.35330	0.48000	0.41700
349.80	0.22800	0.20330	0.58000	0.28000
347.55	0.25000	0.34500	0.52000	0.39330
347.65	0.27000	0.26680	0.56680	0.31000
346.95	0.28000	0.32500	0.53320	0.38320
346.85	0.28340	0.27500	0.57340	0.33000
348.45	0.29000	0.15900	0.66300	0.21850
346.45	0.30680	0.26330	0.59670	0.31000
346.00	0.34000	0.25000	0.62000	0.28000
345.75	0.34000	0.36000	0.58500	0.33330
345.65	0.35200	0.24000	0.63500	0.26670
345.95	0.38670	0.15320	0.72000	0.19680
345.15	0.40280	0.22500	0.66670	0.24680
344.65	0.41000	0.29340	0.63000	0.29500
344.75	0.42200	0.21200	0.68680	0.22670
345.15	0.42330	0.18000	0.70800	0.20500
344.35	0.45500	0.20680	0.69350	0.22000
344.25	0.46670	0.20000	0.71650	0.19400
343.55	0.52000	0.24000	0.70320	0.24330
343.75	0.52330	0.19000	0.74340	0.18330
343.55	0.53330	0.15320	0.75820	0.15820
343.55	0.53670	0.16000	0.75680	0.16500
343.45	0.55750	0.16150	0.76100	0.15670
343.35	0.56900	0.15000	0.77330	0.14680
342.95	0.61500	0.14320	0.78820	0.13500
342.50	0.62000	0.20330	0.75000	0.19300
342.75	0.64000	0.12850	0.81000	0.12340
342.60	0.67000	0.11680	0.82000	0.10700
342.55	0.69330	0.09000	0.84350	0.08150
341.95	0.71670	0.14500	0.80300	0.14320
342.25	0.71900	0.11200	0.83100	0.09100
342.00	0.75670	0.10680	0.84120	0.09000
341.85	0.77330	0.083300.85000	0.08330
341.85	0.79330	0.08000	0.85340	0.07340
341.75	0.80500	0.12180	0.84340	0.10330
341.85	0.81000	0.07150	0.85670	0.07000
341.75	0.81000	0.11670	0.84340	0.10000
341.55	0.82000	0.10680	0.85670	0.10000
341.75	0.83200	0.06900	0.87600	0.06340
Source
Govindaswamy S.; Andiappan A.; Lakshmanan S.: Vapor-Liquid Equilibrium Data at Atmospheric Pressure for the Ternary and the Subbinary Systems Containing n-Hexane-Benzene-1-Butanol. J.Chem.Eng.Data 21 (1976) 366-369
Source
