$$$Vapor-Liquid Equilibrium Data Set 4802
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C4H10O	74.123	71-36-3	1-Butanol
3	H2O	18.015	7732-18-5	Water
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]
333.43	0.66600	0.06500
334.77	0.49200	0.05500
335.96	0.36500	0.04700
337.57	0.26800	0.04200
340.00	0.19200	0.03700
343.03	0.13000	0.03400
347.57	0.07900	0.03100
353.04	0.03600	0.02900
335.59	0.59400	0.13300
337.37	0.42800	0.11200
339.11	0.30800	0.09700
341.92	0.21600	0.08500
345.25	0.14500	0.07600
349.71	0.08700	0.06800
357.20	0.04000	0.06200
338.38	0.51800	0.20300
340.15	0.36300	0.17000
343.05	0.25000	0.14700
346.48	0.16400	0.12900
351.26	0.09800	0.11500
357.43	0.04400	0.10400
341.31	0.43800	0.27800
344.15	0.29400	0.23100
348.79	0.18900	0.19800
352.04	0.11000	0.17400
358.01	0.04900	0.15700
344.86	0.35900	0.35200
348.50	0.22200	0.29300
353.05	0.12800	0.25200
358.12	0.05600	0.22000
348.55	0.27500	0.43000
353.46	0.15200	0.35800
358.40	0.06700	0.30500
353.87	0.18700	0.51200
359.45	0.07700	0.42500
361.06	0.09500	0.59800
Source
Ernst R.C.; Litkenhous E.E.; Spanyer J.W.: The Physical Properties of the Ternary System Acetone-n-Butyl Alcohol-Water. J.Phys.Chem. 36 (1932) 842-854
Source
