$$$Vapor-Liquid Equilibrium Data Set 30033	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H14	86.177	110-54-3	Hexane	
2	C6H6	78.114	71-43-2	Benzene	
3	C6H12	84.161	110-82-7	Cyclohexane	
4	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	342.85	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	
82.370	0.25270	0.28060	0.26040	
77.610	0.19030	0.21130	0.19610	
70.830	0.12540	0.13920	0.12920	
55.520	0.05830	0.06470	0.06000	
82.830	0.31140	0.15840	0.32040	
79.350	0.23010	0.11710	0.23680	
74.900	0.16260	0.08280	0.16730	
58.180	0.07520	0.03830	0.07750	
59.320	0.07790	0.03960	0.08020	
82.190	0.20110	0.40690	0.20250	
74.930	0.14720	0.29790	0.14820	
66.550	0.09770	0.19760	0.09830	
48.540	0.04940	0.10000	0.04970	
78.470	0.19190	0.20750	0.38260	
74.260	0.14730	0.15920	0.29350	
68.270	0.09630	0.10410	0.19190	
51.520	0.04730	0.05120	0.09470	
77.850	0.15690	0.31960	0.30710	
73.410	0.12120	0.24700	0.23730	
65.190	0.07850	0.16000	0.15380	
47.880	0.03990	0.08130	0.07810	
86.830	0.39250	0.19890	0.19730	
83.950	0.30070	0.15240	0.15120	
79.050	0.19860	0.10070	0.09990	
63.020	0.09560	0.04840	0.04810	
91.110	0.51710	0.14190	0.13050	
88.370	0.38080	0.10450	0.09610	
85.130	0.25950	0.07120	0.06550	
67.770	0.11900	0.03260	0.03000	
Source	
Dojcansky J.; Bafrncova S; Surovy J.: Application of the Wilson Equation with Binary Parameters to the Prediction of the Isothermal Vapour-Liquid Equilibrium Data of Ternary and Quaternary Systems in the Assessment of the Polar Solvent in Extractive Distillation. Chem.Papers 55 (2001) 71-74	
Source	
