$$$Vapor-Liquid Equilibrium Data Set 6145	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C8H10	106.167	106-42-3	p-Xylene	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	y1 [mol/mol]	
411.45	0.00000	0.00000	
362.75	0.05000	0.78400	
350.95	0.10000	0.86500	
344.65	0.20000	0.90100	
342.30	0.30000	0.90700	
340.75	0.40000	0.90900	
339.85	0.50000	0.91000	
339.45	0.60000	0.91400	
339.00	0.70000	0.91900	
338.55	0.80000	0.92800	
338.15	0.90000	0.94500	
337.95	0.95000	0.96500	
337.85	1.00000	1.00000	
Source	
Budantseva L.S.; Lesteva T.M.; Nemtsov M.S.: . Viniti  (1975) 1-14	
$$$Vapor-Liquid Equilibrium Data Set 12634	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C8H10	106.167	106-42-3	p-Xylene	
Temperature	313.15	K	
P [kPa]	x1 [mol/mol]	
2.652	0.00000	
3.073	0.00073	
3.5744	0.00151	
6.903	0.00726	
8.943	0.01111	
10.200	0.01371	
11.358	0.01646	
12.848	0.02005	
14.034	0.02304	
15.596	0.02771	
17.292	0.03324	
18.844	0.03945	
19.566	0.04299	
20.405	0.04695	
21.158	0.05105	
22.114	0.05724	
23.691	0.06978	
25.074	0.08402	
26.118	0.09774	
26.812	0.10820	
26.858	0.11018	
27.578	0.12360	
28.324	0.13950	
29.743	0.19830	
29.732	0.20000	
30.704	0.25840	
31.125	0.29260	
31.377	0.32580	
31.961	0.39810	
32.137	0.44000	
32.265	0.45880	
32.489	0.50930	
32.809	0.58270	
32.904	0.60070	
33.053	0.63420	
33.376	0.70060	
33.704	0.76260	
33.928	0.80000	
34.694	0.89520	
35.076	0.93950	
35.137	0.94510	
35.453	1.00000	
Source	
Oracz P.; Kolasinska G.: III. Total Vapour Pressure Measurements for Binary Mixtures of Methanol, Ethanol, 1-Propanol and 1-Butanol with Benzene, Toluene and p-Xylene at 313.15 K. Fluid Phase Equilib. 35 (1987) 253-278	
$$$Vapor-Liquid Equilibrium Data Set 18101	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C8H10	106.167	106-42-3	p-Xylene	
Pressure	95.70	kPa	
T [K]	x1 [mol/mol]	
409.20	0.00000	
346.50	0.12350	
340.80	0.22280	
338.40	0.31110	
337.70	0.42370	
337.30	0.50080	
337.00	0.58890	
336.80	0.69200	
336.50	0.80520	
336.20	0.89650	
336.40	1.00000	
Source	
Vittal Prasad T.E.; Vallabhaneni G.K.; Sameera M.K.; Bose V.P.; Prasad D.H.L.: Bubble-Temperature Measurements on p-Xylene with Methanol, Propan-1-ol, and Butan-1-ol at 95.1 kPa. J.Chem.Eng.Data 43 (1998) 555-557	
Source	
Budantseva L.S.; Lesteva T.M.; Nemtsov M.S.: . Viniti  (1975) 1-14	
Oracz P.; Kolasinska G.: III. Total Vapour Pressure Measurements for Binary Mixtures of Methanol, Ethanol, 1-Propanol and 1-Butanol with Benzene, Toluene and p-Xylene at 313.15 K. Fluid Phase Equilib. 35 (1987) 253-278	
Vittal Prasad T.E.; Vallabhaneni G.K.; Sameera M.K.; Bose V.P.; Prasad D.H.L.: Bubble-Temperature Measurements on p-Xylene with Methanol, Propan-1-ol, and Butan-1-ol at 95.1 kPa. J.Chem.Eng.Data 43 (1998) 555-557	
