$$$Vapor-Liquid Equilibrium Data Set 11327	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	323.15	K	
P [kPa]	x1 [mol/mol]	
0.11466	0.00000	
7.693	0.02000	
8.894	0.02420	
10.852	0.02930	
12.703	0.03570	
13.795	0.03880	
17.165	0.04940	
22.379	0.06780	
23.837	0.07290	
30.255	0.09880	
39.910	0.14850	
47.007	0.19870	
52.232	0.24900	
56.083	0.29860	
56.067	0.29860	
56.134	0.29910	
58.968	0.34840	
61.244	0.39850	
63.064	0.44850	
64.551	0.49840	
64.587	0.49870	
64.548	0.49910	
65.823	0.54780	
65.837	0.54850	
67.022	0.59850	
67.010	0.59910	
68.157	0.64860	
68.161	0.64920	
69.310	0.69870	
69.312	0.69930	
69.317	0.69950	
70.538	0.74910	
70.534	0.74940	
71.911	0.79860	
71.909	0.79940	
73.533	0.84850	
73.543	0.84950	
75.558	0.89930	
75.596	0.89960	
78.198	0.94950	
78.291	0.95010	
80.209	0.97950	
80.277	0.97990	
81.831	1.00000	
Source	
Villamanan M.A.; Allawi A.J.; Van Ness H.C.: Liquid-Vapor Equilibrium and Excess Gibbs Energy of 1,2-Ethanediol + 2-Propanone or + Ethanenitrile. Int.Data Series Sel.Data Mixtures Ser. A 1984 (1984) 31-36	
Source	
Villamanan M.A.; Allawi A.J.; Van Ness H.C.: Liquid-Vapor Equilibrium and Excess Gibbs Energy of 1,2-Ethanediol + 2-Propanone or + Ethanenitrile. Int.Data Series Sel.Data Mixtures Ser. A 1984 (1984) 31-36	
