$$$Vapor-Liquid Equilibrium Data Set 28647
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C6H12	84.161	592-41-6	1-Hexene
3	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
335.90	0.21116	0.46778	0.12610	0.86852
336.77	0.05579	0.42361	0.03278	0.96268
337.20	0.05905	0.43476	0.03385	0.96159
337.94	0.16386	0.30784	0.16178	0.82449
338.26	0.25063	0.40924	0.17595	0.81764
347.96	0.42645	0.20098	0.53041	0.45932
347.99	0.24836	0.30193	0.25074	0.74062
348.65	0.09435	0.07520	0.31241	0.67768
351.00	0.14373	0.23218	0.21364	0.77464
351.38	0.50236	0.09186	0.78123	0.20769
353.71	0.85235	0.10196	0.85833	0.13309
353.84	0.01482	0.02786	0.12678	0.86007
355.58	0.16575	0.00731	0.91072	0.07901
355.90	0.19109	0.03488	0.68472	0.30199
357.03	0.67682	0.01770	0.90308	0.08413
357.08	0.69568	0.04119	0.92995	0.05829
357.98	0.27563	0.02539	0.81649	0.16875
358.76	0.15044	0.06482	0.52616	0.45867
360.87	0.16535	0.05551	0.61153	0.37772
336.64	0.00000	1.000000.00000	1.00000
353.25	1.00000	0.000001.00000	0.00000
Source
Li J.-L.; Zeng A.-W.; Yuan X.-G.; Yu G.-C.: Study on Vapor-Liquid Equilibrium for Benzene + Alkene + N-Methyl-2-Prolindone Systems. Gaoxiao-huaxue-gongcheng-xuebao 21 (2007) 914-918
Source
