$$$Vapor-Liquid Equilibrium Data Set 37861
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	C10H8	128.174	91-20-3	Naphthalene
Pressure	97.99	kPa
T [K]	x1 [mol/mol]
348.01	0.98898
348.25	0.98072
348.52	0.97185
348.92	0.96006
349.07	0.95492
349.35	0.94602
349.65	0.93608
350.03	0.92373
350.35	0.91348
347.99	0.98839
348.39	0.97548
348.90	0.95898
349.23	0.94888
349.46	0.94167
349.83	0.92899
350.32	0.91296
Source
Beckmann E.; Fuchs G.; Gernhardt V.: III. Bestimmung von Konstanten zur Siedepunktsmethode. Z.Phys.Chem.(Leipzig) 18 (1895) 473-513
Source
Beckmann E.; Fuchs G.; Gernhardt V.: III. Bestimmung von Konstanten zur Siedepunktsmethode. Z.Phys.Chem.(Leipzig) 18 (1895) 473-513
