$$$Vapor-Liquid Equilibrium Data Set 14072	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	71-36-3	1-Butanol	
2	C2H3N	41.053	75-05-8	Acetonitrile	
3	C6H6	78.114	71-43-2	Benzene	
4	CH4O	32.042	67-56-1	Methanol	
Temperature	328.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]	
68.314	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
43.583	0.00000	0.00000	1.00000	0.00000	0.00000	1.00000	
40.877	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	
5.940	1.00000	0.00000	0.00000	1.00000	0.00000	0.00000	
51.769	0.41000	0.15300	0.10000	0.06100	0.24700	0.21000	
49.063	0.43700	0.18300	0.19200	0.07000	0.27800	0.34000	
49.969	0.32700	0.35900	0.20400	0.06100	0.41400	0.31600	
54.196	0.32200	0.21800	0.31100	0.05200	0.26200	0.41900	
69.141	0.16200	0.17600	0.10500	0.01900	0.18800	0.19000	
55.622	0.10400	0.20300	0.65800	0.03300	0.23500	0.59900	
64.888	0.16000	0.35000	0.26800	0.02500	0.29700	0.32000	
63.208	0.30200	0.09500	0.19300	0.03700	0.12400	0.32000	
74.261	0.15900	0.09100	0.17400	0.01700	0.10200	0.28100	
64.208	0.21500	0.19200	0.36500	0.03000	0.19300	0.40900	
64.315	0.07800	0.26000	0.57300	0.01700	0.24000	0.48700	
41.370	0.56700	0.09900	0.20400	0.10000	0.21400	0.43300	
66.128	0.12100	0.23400	0.49300	0.02100	0.21100	0.45000	
66.568	0.09100	0.50000	0.20900	0.01700	0.37200	0.26600	
65.821	0.11200	0.22900	0.52500	0.02000	0.20800	0.46500	
61.782	0.07500	0.49800	0.33900	0.01800	0.39800	0.36900	
61.782	0.07900	0.48600	0.34400	0.01800	0.39000	0.37200	
46.929	0.15500	0.70000	0.11100	0.04800	0.66300	0.19800	
49.103	0.14900	0.66100	0.14900	0.04400	0.60700	0.24300	
51.956	0.20800	0.53800	0.15400	0.04600	0.50800	0.24200	
39.997	0.54400	0.21400	0.14400	0.10300	0.39800	0.30800	
51.809	0.13800	0.63300	0.17400	0.03700	0.55800	0.26500	
42.290	0.56700	0.06400	0.15200	0.09200	0.15300	0.36400	
54.182	0.13800	0.63500	0.11100	0.03300	0.53900	0.18400	
74.421	0.14700	0.06100	0.16400	0.01500	0.07000	0.28100	
63.221	0.23400	0.20000	0.33100	0.03400	0.20400	0.39200	
Source	
Nagata I.: Isothermal (vapour + liquid) equilibria of (methanol + butan-1-ol + acetonitrile + benzene). J.Chem.Thermodyn. 23 (1991) 293-296	
Source	
