$$$Vapor-Liquid Equilibrium Data Set 11431
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O	46.069	64-17-5	Ethanol
2	C2H3N	41.053	75-05-8	Acetonitrile
3	C6H6	78.114	71-43-2	Benzene
Temperature	318.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
42.170	0.20000	0.06300	0.29700	0.08300
39.610	0.67600	0.08000	0.45300	0.12100
36.450	0.79800	0.05400	0.53700	0.10600
41.850	0.53200	0.13700	0.38800	0.16600
42.823	0.32500	0.11900	0.31900	0.13500
43.076	0.25100	0.25300	0.27600	0.24200
42.290	0.34800	0.35700	0.31300	0.32000
41.423	0.46600	0.30800	0.35900	0.30900
37.664	0.44200	0.48500	0.38800	0.46600
38.850	0.35800	0.53100	0.34200	0.46900
40.677	0.13500	0.53300	0.18900	0.42700
39.597	0.05800	0.47600	0.10800	0.42300
38.877	0.09400	0.66200	0.14600	0.52600
37.344	0.14900	0.73000	0.21100	0.57800
36.997	0.26000	0.67000	0.30100	0.56200
34.157	0.06200	0.86600	0.11600	0.73600
40.730	0.41000	0.41200	0.34600	0.37700
39.903	0.20900	0.60200	0.24700	0.47400
42.130	0.21100	0.39800	0.24600	0.33900
36.490	0.76000	0.14300	0.52600	0.23900
36.370	0.68400	0.25200	0.49700	0.35000
Source
Nagata I.: By Ethanol, Acetonitrile and Benzene. Fluid Phase Equilib. 19 (1985) 13-20
Source
