$$$Vapor-Liquid Equilibrium Data Set 34423	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	592-41-6	1-Hexene	
2	C4H10O	74.123	71-36-3	1-Butanol	
Temperature	313.15	K	
P [kPa]	x1 [mol/mol]	
44.986	1.00000	
44.518	0.94980	
44.066	0.89940	
43.700	0.85030	
43.169	0.79940	
42.603	0.74870	
41.978	0.70110	
41.315	0.64950	
40.508	0.59900	
40.570	0.59860	
39.741	0.54880	
39.688	0.54860	
38.836	0.49850	
38.740	0.49830	
37.694	0.44850	
37.674	0.44820	
36.298	0.39870	
36.239	0.39760	
34.533	0.34780	
32.413	0.29760	
29.672	0.24610	
26.443	0.19800	
22.811	0.15410	
17.341	0.10080	
9.351	0.04150	
2.482	0.00000	
Source	
Ghellai S.; Belabbaci A.; Villamanan R.M.; Martin M.C.; Villamanan M.A.; Negadi L.: Vapourliquid equilibria of binary and ternary mixtures containing 1-butanol, 2,2,4-trimethylpentane and 1-hexene at T = 313.15 K. J.Chem.Thermodyn. 63 (2013) 164-168	
Source	
Ghellai S.; Belabbaci A.; Villamanan R.M.; Martin M.C.; Villamanan M.A.; Negadi L.: Vapourliquid equilibria of binary and ternary mixtures containing 1-butanol, 2,2,4-trimethylpentane and 1-hexene at T = 313.15 K. J.Chem.Thermodyn. 63 (2013) 164-168	
