$$$Vapor-Liquid Equilibrium Data Set 7763
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H8O	60.096	67-63-0	2-Propanol
2	C2H4O2	60.053	64-19-7	Acetic acid
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
390.90	0.000000.00000
390.05	0.02300	0.05100
388.15	0.09300	0.16000
386.95	0.13900	0.22100
385.65	0.18800	0.29900
384.45	0.23600	0.36200
381.35	0.32600	0.49800
379.35	0.39200	0.58900
377.55	0.44400	0.64900
374.35	0.52600	0.72400
371.65	0.58600	0.79600
369.55	0.64200	0.84300
367.65	0.69300	0.88200
365.95	0.72300	0.90200
363.25	0.78900	0.93900
359.85	0.87600	0.97300
358.55	0.90500	0.97900
357.15	0.95400	0.99300
355.55	1.000001.00000
Source
Amer Amezaga S.; Fernandez Biarge J.: Equilibrio Liquido Vapor en Sistemas Binarios Formados por el Acido Acetico y los Alcoholes Propilico, Isopropilico, Isobutilico, Butilico Secundario y Butilico Terciario a 760 mm. Anal.Quim. 69 (1973) 587-600
Source
Amer Amezaga S.; Fernandez Biarge J.: Equilibrio Liquido Vapor en Sistemas Binarios Formados por el Acido Acetico y los Alcoholes Propilico, Isopropilico, Isobutilico, Butilico Secundario y Butilico Terciario a 760 mm. Anal.Quim. 69 (1973) 587-600
