$$$Vapor-Liquid Equilibrium Data Set 3559
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	H2O	18.015	7732-18-5	Water
3	H2O	18.015	7732-18-5	Acetic acid butyl ester
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]
351.22	0.20000	0.64000	0.58000	0.33500
347.53	0.40400	0.47600	0.64000	0.32500
345.46	0.60000	0.32000	0.67000	0.31500
345.05	0.79900	0.16100	0.69150	0.30100
355.60	0.20000	0.47700	0.49400	0.36800
350.17	0.40100	0.35900	0.59500	0.33500
346.98	0.59900	0.24100	0.64400	0.32000
346.48	0.80200	0.11800	0.69000	0.29700
356.65	0.20000	0.31800	0.46050	0.38100
351.94	0.40000	0.24100	0.55950	0.34000
351.65	0.60300	0.15700	0.63500	0.21500
348.58	0.80200	0.07900	0.71000	0.27100
360.36	0.20000	0.16100	0.47500	0.32000
357.39	0.39000	0.14200	0.61500	0.25400
353.51	0.60000	0.08100	0.71600	0.22300
351.35	0.79400	0.04200	0.78700	0.18200
Source
Anton N.D.; Babich S.V.; Tikhonova N.K.; Timofeev V.S.; Serafimov L.A.: Liquid-Vapor Equilibria in the System Ethyl Acetate-Benzene-Water-Butyl Acetate. J.Appl.Chem.USSR 49 (1976) 341-344
Source
