$$$Vapor-Liquid Equilibrium Data Set 7426	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C4H10O	74.123	71-36-3	1-Butanol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
351.15	0.47600	0.34000	0.49000	0.41600	
351.75	0.47160	0.31400	0.47860	0.41340	
352.25	0.62280	0.15500	0.65280	0.24160	
352.35	0.65480	0.12800	0.68000	0.21550	
352.45	0.57840	0.16400	0.61240	0.26760	
352.55	0.49480	0.21600	0.54440	0.26760	
352.55	0.54080	0.18000	0.64000	0.25000	
352.65	0.48000	0.21800	0.49840	0.36440	
352.85	0.37620	0.27340	0.47300	0.40000	
353.15	0.00750	0.73400	0.01000	0.85640	
353.15	0.67660	0.03800	0.79700	0.07100	
353.45	0.76500	0.00100	0.87620	0.00180	
353.55	0.71980	0.01200	0.84500	0.02000	
353.55	0.79440	0.00100	0.88640	0.00160	
353.65	0.01500	0.67800	0.02100	0.85220	
353.65	0.65380	0.04320	0.80500	0.07400	
353.65	0.74100	0.00200	0.87840	0.00360	
353.65	0.89960	0.00400	0.92740	0.00620	
353.65	0.94500	0.01100	0.95600	0.01400	
353.85	0.95680	0.00120	0.96840	0.00160	
353.95	0.56440	0.08360	0.70700	0.15500	
354.15	0.34800	0.23360	0.47200	0.38800	
354.15	0.48000	0.13120	0.62700	0.23200	
354.25	0.02420	0.61600	0.03200	0.83600	
354.65	0.02800	0.60240	0.04140	0.81060	
354.65	0.32200	0.23080	0.41400	0.43200	
354.65	0.38800	0.18820	0.51200	0.34000	
354.95	0.38250	0.19500	0.54000	0.32500	
355.15	0.27200	0.25100	0.38600	0.45400	
355.55	0.00600	0.52800	0.01020	0.83380	
355.55	0.28800	0.22280	0.47000	0.38000	
355.65	0.47360	0.10800	0.62240	0.20720	
355.85	0.35200	0.16920	0.53000	0.32000	
356.05	0.31000	0.21200	0.49440	0.36300	
356.15	0.35100	0.19420	0.53640	0.34200	
356.45	0.01600	0.49520	0.03000	0.80200	
356.75	0.10500	0.29920	0.20000	0.64000	
357.05	0.00960	0.38100	0.02100	0.81640	
357.25	0.01250	0.37600	0.02780	0.79020	
357.55	0.34840	0.14440	0.59340	0.26460	
357.95	0.01080	0.32200	0.02360	0.76940	
357.95	0.29700	0.14800	0.51840	0.29760	
358.25	0.26040	0.15700	0.47800	0.33300	
358.95	0.23320	0.16300	0.45200	0.35600	
358.95	0.25620	0.14160	0.46060	0.34880	
359.45	0.18500	0.17200	0.40200	0.39000	
359.85	0.13120	0.19200	0.30600	0.48200	
360.95	0.10620	0.18020	0.27400	0.49760	
362.55	0.18940	0.09080	0.50200	0.31000	
363.55	0.04800	0.14000	0.17120	0.55880	
365.75	0.04520	0.13200	0.15440	0.55560	
367.15	0.13520	0.08780	0.40000	0.30000	
369.45	0.07260	0.10180	0.25600	0.40200	
371.15	0.08120	0.02440	0.37600	0.11600	
372.45	0.10680	0.01320	0.49040	0.06200	
372.55	0.08840	0.00400	0.42800	0.02200	
378.65	0.05880	0.00680	0.35140	0.04000	
383.75	0.03860	0.01260	0.24800	0.08200	
Source	
Subbarao B.V.; Ventakarao C.: Isobaric Ternary Vapour-Liquid Equilibria System: Benzene-Cyclohexane-n-Butanol. J.Appl.Chem. 18 (1968) 61-64	
$$$Vapor-Liquid Equilibrium Data Set 12957	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C4H10O	74.123	71-36-3	1-Butanol	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
382.65	0.03200	0.02000	0.09700	0.06500	
362.00	0.04200	0.21000	0.10300	0.55000	
357.75	0.03500	0.31500	0.06600	0.70300	
355.30	0.04400	0.41000	0.06900	0.74700	
353.75	0.06600	0.49800	0.09200	0.76700	
353.50	0.06300	0.57800	0.08000	0.78300	
353.15	0.04800	0.67600	0.05800	0.81900	
352.75	0.03400	0.74600	0.04200	0.85200	
352.45	0.05400	0.79000	0.06500	0.84500	
352.35	0.03500	0.86200	0.04400	0.86700	
351.72	0.12900	0.78000	0.15000	0.77300	
351.24	0.22100	0.68500	0.24000	0.68700	
351.80	0.20200	0.57400	0.23800	0.65900	
351.40	0.27100	0.53600	0.30700	0.59900	
351.10	0.32400	0.51100	0.35400	0.55900	
351.15	0.32400	0.53500	0.35000	0.56800	
351.13	0.28100	0.61800	0.30600	0.62400	
350.81	0.38500	0.52600	0.39600	0.53600	
350.72	0.46700	0.44900	0.46700	0.46500	
350.80	0.56000	0.36600	0.55100	0.38900	
351.03	0.65100	0.28400	0.62900	0.31800	
351.33	0.73200	0.20100	0.70300	0.24300	
351.78	0.80600	0.14800	0.77800	0.17800	
351.98	0.84200	0.12200	0.81200	0.15600	
352.52	0.76100	0.10100	0.77000	0.14100	
352.60	0.83700	0.06400	0.83400	0.09300	
353.02	0.83700	0.03900	0.85200	0.06500	
353.53	0.73000	0.05400	0.80200	0.08700	
354.60	0.62600	0.05700	0.76300	0.09200	
356.65	0.51900	0.04500	0.73300	0.08300	
357.75	0.40800	0.05200	0.69700	0.11300	
361.00	0.29800	0.05100	0.60700	0.13200	
365.75	0.20700	0.03800	0.51000	0.13200	
369.85	0.14400	0.03700	0.40000	0.15300	
359.95	0.13500	0.14200	0.30700	0.40800	
355.45	0.13000	0.25800	0.23900	0.57200	
353.10	0.12900	0.38800	0.19400	0.64900	
352.75	0.13100	0.50500	0.17600	0.69600	
352.55	0.13400	0.59600	0.16300	0.72300	
351.92	0.14300	0.68300	0.16800	0.74200	
351.48	0.57100	0.26300	0.58800	0.32100	
351.83	0.63600	0.21200	0.65000	0.26300	
351.83	0.69200	0.16700	0.69600	0.21800	
352.05	0.69500	0.14900	0.70900	0.19700	
351.75	0.58800	0.22200	0.61500	0.28800	
353.35	0.48500	0.19400	0.58400	0.28200	
352.69	0.59600	0.14400	0.67500	0.21300	
353.03	0.69300	0.10700	0.74300	0.14500	
354.30	0.45000	0.14800	0.61300	0.25400	
353.43	0.35900	0.27100	0.46300	0.39700	
355.10	0.32900	0.20000	0.48900	0.34700	
357.10	0.24600	0.15400	0.45000	0.33900	
362.60	0.16400	0.09600	0.39400	0.29300	
355.50	0.24600	0.22100	0.39800	0.42700	
354.10	0.24400	0.29300	0.35600	0.49000	
352.80	0.25000	0.38700	0.32400	0.54600	
