$$$Vapor-Liquid Equilibrium Data Set 2221
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H6	54.092	106-99-0	1,3-Butadiene
2	C4H10O	74.123	60-29-7	Diethyl ether
Temperature	298.15	K
P [kPa]	x1 [mol/mol]	y1 [mol/mol]
71.487	0.000000.00000
79.046	0.04350	0.13100
85.636	0.08080	0.22700
93.548	0.12480	0.32400
101.489	0.16770	0.40500
108.155	0.20560	0.46800
115.471	0.24130	0.52100
121.735	0.27350	0.56500
Source
Wong K.F.; Eckert C.A.: Vapor-Liquid Equilibria of 1,3-Butadiene Systems. J.Chem.Eng.Data 14 (1969) 432-436
Source
Wong K.F.; Eckert C.A.: Vapor-Liquid Equilibria of 1,3-Butadiene Systems. J.Chem.Eng.Data 14 (1969) 432-436
