$$$Vapor-Liquid Equilibrium Data Set 17519	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	110-82-7	Cyclohexane	
2	C6H14	86.177	110-54-3	Hexane	
3	C3H6O	58.080	67-64-1	Acetone	
4	CH4O	32.042	67-56-1	Methanol	
Temperature	313.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	
24.625	1.00000	0.00000	0.00000	
37.270	0.00000	1.00000	0.00000	
56.603	0.00000	0.00000	1.00000	
35.453	0.00000	0.00000	0.00000	
65.680	0.01760	0.04400	0.74330	
69.050	0.33240	0.22100	0.35370	
65.871	0.20070	0.13340	0.09000	
65.260	0.32720	0.21760	0.06150	
62.150	0.01760	0.04400	0.12680	
69.130	0.05400	0.13500	0.10960	
69.430	0.08640	0.21610	0.09420	
62.040	0.03530	0.02350	0.27430	
67.670	0.09560	0.06360	0.24500	
68.570	0.17280	0.11490	0.20760	
68.100	0.27830	0.18500	0.15640	
66.411	0.43200	0.28720	0.08180	
69.060	0.03270	0.08190	0.25800	
71.719	0.06590	0.16490	0.22410	
70.939	0.16940	0.42370	0.11860	
65.991	0.25250	0.63170	0.03370	
61.560	0.54170	0.36030	0.04510	
69.040	0.35010	0.23280	0.19180	
69.970	0.22600	0.15030	0.28680	
69.770	0.13370	0.08890	0.35750	
67.100	0.06380	0.04240	0.41110	
71.090	0.20630	0.51600	0.12770	
72.910	0.13890	0.34760	0.23620	
73.241	0.08640	0.21620	0.32070	
72.090	0.04880	0.12200	0.38130	
66.660	0.01980	0.04950	0.42800	
63.980	0.25510	0.63820	0.06740	
72.790	0.16910	0.42310	0.25750	
73.630	0.11040	0.27610	0.38740	
73.110	0.06610	0.16540	0.48530	
69.940	0.03240	0.08110	0.55980	
67.940	0.42840	0.28490	0.18100	
70.210	0.27910	0.18560	0.33800	
70.490	0.17090	0.11360	0.45190	
69.130	0.09470	0.06300	0.53190	
66.840	0.05840	0.03880	0.57010	
69.380	0.21000	0.52530	0.20960	
72.681	0.13770	0.34450	0.41010	
72.830	0.08960	0.22420	0.54350	
71.299	0.04950	0.12390	0.65470	
62.020	0.05030	0.03340	0.12380	
65.671	0.11430	0.07600	0.10940	
Source	
Goral M.; Oracz P.; Warycha S.: XI. The quaternary system cyclohexane + hexane + acetone + methanol at 313.15 K. Fluid Phase Equilib. 135 (1997) 51-61	
Source	
