$$$Vapor-Liquid Equilibrium Data Set 28634
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H4O2	60.053	64-19-7	Acetic acid
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Temperature	363.15	K
P [kPa]	x1 [mol/mol]
1.380	0.00000
1.4945	0.00810
2.0985	0.04940
3.5104	0.13080
5.412	0.21880
7.793	0.30840
10.666	0.39750
13.818	0.47970
16.935	0.55090
23.302	0.68120
27.646	0.77280
32.147	0.86340
36.666	0.94840
39.095	0.99130
39.661	1.00000
Source
Schmid B.; Döker M.; Gmehling J.: Measurement of the thermodynamic properties for the reactive system ethylene glycol-acetic acid. Fluid Phase Equilib. 258 (2007) 115-124
Source
Schmid B.; Döker M.; Gmehling J.: Measurement of the thermodynamic properties for the reactive system ethylene glycol-acetic acid. Fluid Phase Equilib. 258 (2007) 115-124
