$$$Vapor-Liquid Equilibrium Data Set 27361	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
3	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	313.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
36.530	0.73100	0.13450	0.69900	0.30100	
32.797	0.62000	0.11400	0.69800	0.30200	
25.865	0.45800	0.08400	0.65400	0.34600	
41.597	0.62000	0.26600	0.55100	0.44900	
36.530	0.53800	0.23100	0.51200	0.48800	
31.197	0.41200	0.17600	0.47700	0.52300	
22.665	0.26600	0.11400	0.44800	0.55200	
43.063	0.45800	0.45800	0.43100	0.56900	
40.130	0.41200	0.41200	0.39700	0.60300	
35.997	0.33300	0.33400	0.32650	0.67350	
30.131	0.23100	0.23100	0.27100	0.72900	
20.665	0.13450	0.13450	0.22400	0.77600	
41.597	0.26600	0.62000	0.28100	0.71900	
38.397	0.23100	0.53800	0.22800	0.77200	
34.530	0.17600	0.41200	0.17600	0.82400	
29.198	0.11400	0.26600	0.13000	0.87000	
39.597	0.13450	0.73100	0.16300	0.83700	
36.664	0.11400	0.62000	0.12300	0.87700	
33.731	0.08400	0.45800	0.08900	0.91100	
Source	
Sedletskaya I.S.; Kogan V.B.: Investigation of Liquid-Vapor Equilibrium and Tests of Thermodynamic Consistency of experimental Data for a Ternary System with a Nonvolatile Component. J.Appl.Chem.USSR 42 (1969) 2403-2407	
Source	
