$$$Vapor-Liquid Equilibrium Data Set 18042	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C2H3N	41.053	75-05-8	Acetonitrile	
3	C6H6	78.114	71-43-2	Benzene	
4	C2H6O	46.069	64-17-5	Ethanol	
Temperature	318.15	K	
P [kPa]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]	
43.263	0.10700	0.33700	0.26900	0.15000	0.27700	0.31100	
40.423	0.05000	0.54400	0.21200	0.07100	0.42800	0.28300	
44.530	0.19800	0.41300	0.17500	0.27300	0.30800	0.21100	
41.717	0.15100	0.56100	0.22700	0.21900	0.42000	0.27500	
38.650	0.04500	0.58800	0.11900	0.06600	0.48000	0.19300	
42.796	0.05000	0.26800	0.52900	0.07200	0.24700	0.47400	
43.743	0.16300	0.42400	0.33100	0.22200	0.33000	0.33700	
43.970	0.12500	0.17400	0.61400	0.18900	0.17300	0.49700	
46.516	0.17200	0.16300	0.42800	0.23700	0.14500	0.38800	
43.023	0.05400	0.24300	0.47000	0.07400	0.22200	0.45000	
46.543	0.19400	0.19100	0.34800	0.26700	0.15700	0.33800	
42.943	0.05100	0.16400	0.46600	0.07100	0.16400	0.46400	
44.503	0.10400	0.16700	0.33800	0.15300	0.16100	0.37900	
43.223	0.05100	0.08800	0.45700	0.08100	0.09800	0.48600	
44.156	0.10600	0.07000	0.41100	0.16500	0.07200	0.44000	
44.383	0.15200	0.33100	0.23000	0.21000	0.26900	0.27800	
44.023	0.15700	0.40600	0.22700	0.21600	0.31000	0.26100	
42.716	0.10500	0.40100	0.24800	0.14400	0.31700	0.31300	
43.210	0.20700	0.48700	0.23900	0.29300	0.35200	0.26400	
43.343	0.07300	0.11700	0.67600	0.12400	0.12200	0.54400	
Source	
Nagata I.; Tamura K.: Isothermal (vapour + liquid) equilibria of (ethanol + propanone + acetonitrile + benzene) at the temperature 318.15 K. J.Chem.Thermodyn. 30 (1998) 153-159	
Source	
