$$$Vapor-Liquid Equilibrium Data Set 2723
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C2H3N	41.053	75-05-8	Acetonitrile
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
354.15	0.01500	0.04200
353.25	0.03500	0.08800
352.15	0.05700	0.13800
351.25	0.07900	0.17900
350.15	0.10700	0.23200
348.75	0.14700	0.29300
347.75	0.17800	0.34100
346.85	0.21300	0.38500
345.75	0.25200	0.43500
344.85	0.29300	0.47600
343.95	0.33400	0.51900
343.15	0.37900	0.56000
342.35	0.42400	0.60100
341.75	0.46200	0.63100
341.05	0.50200	0.66300
340.45	0.54300	0.69500
339.85	0.57900	0.72300
339.25	0.61600	0.75000
338.75	0.64400	0.77100
338.55	0.66300	0.78400
338.25	0.68600	0.80300
337.75	0.71100	0.82200
337.45	0.74200	0.84000
337.05	0.76900	0.85700
336.95	0.78100	0.86500
336.95	0.78700	0.86600
336.65	0.80600	0.88000
336.15	0.86200	0.91300
335.85	0.88400	0.92800
335.05	0.96600	0.97600
Source
Mato F.; Sanchez M.: Equilibrio Liquido-Vapor de Mezclas Binarias de Acetonitrilo. Anal.Fis.Quim.Ser.B 63 (1967) 1-11
$$$Vapor-Liquid Equilibrium Data Set 6184
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C2H3N	41.053	75-05-8	Acetonitrile
Temperature	313.15	K
P [kPa]	x1 [mol/mol]
22.958	0.00000
29.464	0.18230
32.731	0.30230
34.864	0.39900
37.397	0.50030
41.130	0.67350
43.530	0.76330
48.249	1.00000
Source
Kreglewski A.: Influence of Donor-Acceptor Interactions on the Free Energy of Mixing. The Chloroform-Acetonitrile System at 40°C. Bull.Acad.Pol.Sci.Ser.Sci.Chim. 13 (1965) 723-727
$$$Vapor-Liquid Equilibrium Data Set 6973
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C2H3N	41.053	75-05-8	Acetonitrile
Temperature	328.15	K
P [kPa]	x1 [mol/mol]	y1 [mol/mol]
44.400	0.04000	0.09500
48.971	0.10900	0.23200
54.450	0.23000	0.39500
59.290	0.33800	0.50900
62.790	0.42400	0.58600
67.670	0.54900	0.69300
70.450	0.63800	0.75600
75.460	0.78500	0.86200
77.350	0.85900	0.91000
79.829	0.93400	0.95500
79.989	0.93800	0.95800
Source
Nagata I.; Kawamura Y.: Excess Thermodynamic Functions and Complex Formation in Binary Liquid Mixtures Containing Acetonitrile. Fluid Phase Equilib. 3 (1979) 1-11
Source
Mato F.; Sanchez M.: Equilibrio Liquido-Vapor de Mezclas Binarias de Acetonitrilo. Anal.Fis.Quim.Ser.B 63 (1967) 1-11
Kreglewski A.: Influence of Donor-Acceptor Interactions on the Free Energy of Mixing. The Chloroform-Acetonitrile System at 40°C. Bull.Acad.Pol.Sci.Ser.Sci.Chim. 13 (1965) 723-727
Nagata I.; Kawamura Y.: Excess Thermodynamic Functions and Complex Formation in Binary Liquid Mixtures Containing Acetonitrile. Fluid Phase Equilib. 3 (1979) 1-11
